rank	label	cv_aupr	cv_positive_count	n_pos	n_neg	max_auroc	min_auroc	max_abs_dev	perm_threshold_95_dev	n_cells_above_perm_95	frac_cells_above_perm_95	n_cells_neg_log10_p_ge_2	n_cells_neg_log10_p_ge_3	top_cells_kept	skip_reason	top_cells_path	heatmap_path
1	acceptor_superclass::Diarylheptanoids		0	1	365					0	0.0000	0	0	0	too_few_pos_or_neg		
2	acceptor_superclass::Polyols		0	1	365					0	0.0000	0	0	0	too_few_pos_or_neg		
3	acceptor_superclass::Sesquiterpenoids		0	1	365					0	0.0000	0	0	0	too_few_pos_or_neg		
4	acceptor_superclass::Stilbenoids		0	1	365					0	0.0000	0	0	0	too_few_pos_or_neg		
5	acceptor_superclass::Phenolic acids (C6-C1)	0.9633	78	78	288	0.9440	0.0656	0.4440	0.1760	23067	0.3004	44862	0	0		/content/drive/MyDrive/DeepLearning_final_proj/Model_Interpretability/analysis_outputs/discriminative_features_full/per_label_top_cells/acceptor_superclass__Phenolic_acids__C6-C1___top_cells.tsv	/content/drive/MyDrive/DeepLearning_final_proj/Model_Interpretability/analysis_outputs/discriminative_features_full/per_label_heatmaps/acceptor_superclass__Phenolic_acids__C6-C1___discriminative.png
6	donor_type::aliphatic	0.9545	175	175	191	0.9004	0.1084	0.4004	0.1481	20425	0.2660	43791	0	0		/content/drive/MyDrive/DeepLearning_final_proj/Model_Interpretability/analysis_outputs/discriminative_features_full/per_label_top_cells/donor_type__aliphatic__top_cells.tsv	/content/drive/MyDrive/DeepLearning_final_proj/Model_Interpretability/analysis_outputs/discriminative_features_full/per_label_heatmaps/donor_type__aliphatic__discriminative.png
7	donor_type::aromatic	0.9745	213	213	153	0.8801	0.1072	0.3928	0.1455	19633	0.2556	42249	0	0		/content/drive/MyDrive/DeepLearning_final_proj/Model_Interpretability/analysis_outputs/discriminative_features_full/per_label_top_cells/donor_type__aromatic__top_cells.tsv	/content/drive/MyDrive/DeepLearning_final_proj/Model_Interpretability/analysis_outputs/discriminative_features_full/per_label_heatmaps/donor_type__aromatic__discriminative.png
8	acceptor_superclass::Naphthalenes	0.9371	19	19	347	0.9929	0.0185	0.4929	0.3197	6856	0.0893	30861	0	0		/content/drive/MyDrive/DeepLearning_final_proj/Model_Interpretability/analysis_outputs/discriminative_features_full/per_label_top_cells/acceptor_superclass__Naphthalenes__top_cells.tsv	/content/drive/MyDrive/DeepLearning_final_proj/Model_Interpretability/analysis_outputs/discriminative_features_full/per_label_heatmaps/acceptor_superclass__Naphthalenes__discriminative.png
9	acceptor_superclass::Ornithine alkaloids	0.9282	43	43	323	0.8867	0.1009	0.3991	0.2212	5223	0.0680	27601	0	0		/content/drive/MyDrive/DeepLearning_final_proj/Model_Interpretability/analysis_outputs/discriminative_features_full/per_label_top_cells/acceptor_superclass__Ornithine_alkaloids__top_cells.tsv	
10	acceptor_superclass::Flavonoids	0.7008	42	42	324	0.8908	0.1167	0.3908	0.2280	4784	0.0623	27046	0	0		/content/drive/MyDrive/DeepLearning_final_proj/Model_Interpretability/analysis_outputs/discriminative_features_full/per_label_top_cells/acceptor_superclass__Flavonoids__top_cells.tsv	
11	acceptor_superclass::Fatty acyls	0.7706	38	38	328	0.8691	0.1379	0.3691	0.2373	2296	0.0299	21532	0	0		/content/drive/MyDrive/DeepLearning_final_proj/Model_Interpretability/analysis_outputs/discriminative_features_full/per_label_top_cells/acceptor_superclass__Fatty_acyls__top_cells.tsv	
12	acceptor_superclass::Isoflavonoids	0.7216	12	12	354	0.9769	0.0226	0.4774	0.3712	2037	0.0265	21134	0	0		/content/drive/MyDrive/DeepLearning_final_proj/Model_Interpretability/analysis_outputs/discriminative_features_full/per_label_top_cells/acceptor_superclass__Isoflavonoids__top_cells.tsv	
13	acceptor_superclass::Diterpenoids	0.8655	17	17	349	0.9622	0.0199	0.4801	0.3275	1897	0.0247	16415	0	0		/content/drive/MyDrive/DeepLearning_final_proj/Model_Interpretability/analysis_outputs/discriminative_features_full/per_label_top_cells/acceptor_superclass__Diterpenoids__top_cells.tsv	
