classifier	family	task	feature_type	micro_aupr	macro_aupr	micro_auroc	macro_auroc
LogisticRegression	BAHD	donor	last_layer	0.9599390153234987	0.9578276486379275	0.9584557060656916	0.9578579692001833
HistGradientBoosting	BAHD	donor	last_layer	0.95958880759001	0.9563404629657803	0.9539453967873412	0.9524581689225109
XGBoost	BAHD	donor	last_layer	0.9593108748009984	0.9556981758158587	0.9555637137377128	0.9541527553347782
LightGBM	BAHD	donor	last_layer	0.9558361745475823	0.9523867262846162	0.9515029369455765	0.9498338305735816
RandomForest	BAHD	donor	last_layer	0.9552771392836424	0.9507246369172598	0.9526454986813714	0.9524094618469925
SVC_RBF	BAHD	donor	last_layer	0.9538295488950346	0.9469664311955199	0.9502817070246945	0.947022331780093
LinearSVC	BAHD	donor	last_layer	0.9522255763249811	0.9528846908085968	0.9514355070726445	0.9511808957292329
SGDClassifier	BAHD	donor	last_layer	0.951224703917298	0.9504410275296198	0.9517576720210981	0.9505284480382621
ExtraTrees	BAHD	donor	last_layer	0.948577540098572	0.9434447253024741	0.9510009590026373	0.9499539024288197
RidgeClassifier	BAHD	donor	last_layer	0.9433663043010214	0.9423293427416972	0.9507836849676337	0.9512791255511948
KNeighbors	BAHD	donor	last_layer	0.9181964045429793	0.9137973031073894	0.9307832354351475	0.929780429144349
LinearDiscriminantAnalysis	BAHD	donor	last_layer	0.8931753858387176	0.8940041447886882	0.9134649964037402	0.9129437924011463
GaussianNB	BAHD	donor	last_layer	0.8344560807242171	0.8335134099891632	0.868343173099976	0.8706838012183792
BernoulliNB	BAHD	donor	last_layer	0.8290345181066331	0.8278205014072308	0.8608884260369215	0.863068540478978
DecisionTree	BAHD	donor	last_layer	0.8167454391414576	0.8112487329578874	0.8502307600095901	0.8460836177911095
SVC_RBF	BAHD	acceptor	last_layer	0.668071509922167	0.503508269273162	0.9028213469524508	0.7647725306866882
LinearSVC	BAHD	acceptor	last_layer	0.667668607604695	0.5351575168503753	0.8848260321134994	0.8479951715858792
LogisticRegression	BAHD	acceptor	last_layer	0.6510686888435521	0.51951497642362	0.9163858505192088	0.8803479740592471
HistGradientBoosting	BAHD	acceptor	last_layer	0.6404259952031073	0.4986874580258674	0.9246561711716746	0.8798101421907859
SGDClassifier	BAHD	acceptor	last_layer	0.6349767766156323	0.4999382822938061	0.9001535367568141	0.8600171068091392
LightGBM	BAHD	acceptor	last_layer	0.6278955035689202	0.49243614445663697	0.9156173488901981	0.8644328827502821
RidgeClassifier	BAHD	acceptor	last_layer	0.6237229235382984	0.5375525039631459	0.8852000598662496	0.8459649744984611
XGBoost	BAHD	acceptor	last_layer	0.6175923862671588	0.44654299586747603	0.8863594913767793	0.7905057241746934
RandomForest	BAHD	acceptor	last_layer	0.6048762885549743	0.4458184097106564	0.9097929298395361	0.846642394414639
ExtraTrees	BAHD	acceptor	last_layer	0.5960190045609136	0.49423808655166157	0.8985876363108978	0.8601129699656637
KNeighbors	BAHD	acceptor	last_layer	0.5892804599143686	0.41337986899274864	0.8758668134062233	0.8170623162077763
LinearDiscriminantAnalysis	BAHD	acceptor	last_layer	0.5545522632936566	0.46877558070536157	0.8716223344729549	0.8057927825267781
GaussianNB	BAHD	acceptor	last_layer	0.32189145530186547	0.28745206350034674	0.8303662827611644	0.7430485520874178
DecisionTree	BAHD	acceptor	last_layer	0.268878405292419	0.2482134967088481	0.7371473623001288	0.6867802282339496
BernoulliNB	BAHD	acceptor	last_layer	0.18720225883749078	0.18883677272094043	0.808803528292119	0.8028642788503575
