label	n_positive	n_negative	TP	FP	FN	TN	precision	recall	accuracy	score_pos_mean	score_pos_median	score_neg_mean	score_neg_median	separation_mean_diff
acceptor_superclass::Coumarins	2	332	2	0	0	332	1.0	1.0	1.0	5.798118591308594	5.798118591308594	-2.0813551600798066	-2.0735591650009155	7.8794737513884
acceptor_superclass::Cyclic polyketides	2	332	2	0	0	332	1.0	1.0	1.0	6.3030102252960205	6.3030102252960205	-2.0802382230758667	-2.0673879384994507	8.383248448371887
acceptor_superclass::Diterpenoids	15	319	15	1	0	318	0.9375	1.0	0.9970059880239521	5.817417621612549	5.749294757843018	-2.213768130185836	-2.247938632965088	8.031185751798384
acceptor_superclass::Fatty Acids and Conjugates	13	321	13	1	0	320	0.9285714285714286	1.0	0.9970059880239521	5.066731984798725	4.942357540130615	-2.224038882986164	-2.1924822330474854	7.2907708677848895
acceptor_superclass::Fatty acyls	35	299	35	4	0	295	0.8974358974358975	1.0	0.9880239520958084	5.9468741144452775	5.067687034606934	-2.420452517011891	-2.4593217372894287	8.367326631457168
acceptor_superclass::Flavonoids	39	295	39	7	0	288	0.8478260869565217	1.0	0.9790419161676647	5.399036242411687	5.479048252105713	-2.391747116461649	-2.4429705142974854	7.790783358873336
acceptor_superclass::Isoflavonoids	11	323	11	1	0	322	0.9166666666666666	1.0	0.9970059880239521	5.484498782591387	5.652443885803223	-2.1690595000059614	-2.1510233879089355	7.6535582825973485
acceptor_superclass::Lignans	2	332	2	0	0	332	1.0	1.0	1.0	5.65201210975647	5.65201210975647	-2.0808002424527365	-2.066329598426819	7.732812352209207
acceptor_superclass::Lysine alkaloids	3	331	3	0	0	331	1.0	1.0	1.0	5.78198258082072	6.249256134033203	-2.101039733411322	-2.115025758743286	7.883022314232042
acceptor_superclass::Monoterpenoids	22	312	22	2	0	310	0.9166666666666666	1.0	0.9940119760479041	4.2939681952649895	4.1841089725494385	-2.150961364213473	-2.172000765800476	6.444929559478462
acceptor_superclass::Naphthalenes	19	315	19	0	0	315	1.0	1.0	1.0	10.082451255697952	10.898002624511719	-2.350013954488058	-2.3182544708251953	12.43246521018601
acceptor_superclass::Ornithine alkaloids	36	298	36	1	0	297	0.972972972972973	1.0	0.9970059880239521	8.351221660772959	6.862561225891113	-2.646247331478052	-2.5516380071640015	10.997468992251012
acceptor_superclass::Phenanthrenoids	3	331	3	0	0	331	1.0	1.0	1.0	5.588469505310059	5.549128532409668	-2.0888129786062097	-2.059392213821411	7.677282483916269
acceptor_superclass::Phenolic acids (C6-C1)	72	262	72	3	0	259	0.96	1.0	0.9910179640718563	9.449762370851305	10.61248254776001	-3.502076856962597	-3.302975654602051	12.951839227813903
acceptor_superclass::Phenylethanoids (C6-C2)	20	314	20	4	0	310	0.8333333333333334	1.0	0.9880239520958084	4.232796597480774	4.02038311958313	-2.1369825362993082	-2.1399115324020386	6.3697791337800815
acceptor_superclass::Phenylpropanoids (C6-C3)	39	295	39	4	0	291	0.9069767441860465	1.0	0.9880239520958084	3.772857693525461	3.546938896179199	-2.2401713749235967	-2.1688666343688965	6.0130290684490575
acceptor_superclass::Pseudoalkaloids	22	312	22	5	0	307	0.8148148148148148	1.0	0.9850299401197605	4.58531467481093	4.279930830001831	-2.2308715685055804	-2.2616816759109497	6.81618624331651
acceptor_superclass::Saccharides	5	329	5	1	0	328	0.8333333333333334	1.0	0.9970059880239521	5.7392144203186035	5.395437240600586	-2.102878975650822	-2.1142075061798096	7.8420933959694255
acceptor_superclass::Small peptides	16	318	16	10	0	308	0.6153846153846154	1.0	0.9700598802395209	3.4298026710748672	3.125350832939148	-2.095436636850519	-2.183176875114441	5.525239307925386
acceptor_superclass::Steroids	5	329	5	0	0	329	1.0	1.0	1.0	5.230203342437744	5.237647533416748	-2.0933620179677805	-2.1089582443237305	7.323565360405524
acceptor_superclass::Triterpenoids	9	325	9	1	0	324	0.9	1.0	0.9970059880239521	4.709279007381863	4.906606197357178	-2.110549614796272	-2.0892980098724365	6.819828622178134
acceptor_superclass::Tryptophan alkaloids	13	321	13	1	0	320	0.9285714285714286	1.0	0.9970059880239521	5.4648380646338826	5.471731185913086	-2.1775397712196516	-2.1571099758148193	7.642377835853534
acceptor_superclass::Tyrosine alkaloids	10	324	10	7	0	317	0.5882352941176471	1.0	0.9790419161676647	4.004945373535156	4.340352535247803	-2.07798726985484	-2.1428585052490234	6.082932643389996
