classifier	family	task	feature_type	micro_aupr	macro_aupr	micro_auroc	macro_auroc
LogisticRegression	BAHD	donor	function_logits	0.9366501369213315	0.9281016546336803	0.9311316231119636	0.9282315871067351
RidgeClassifier	BAHD	donor	function_logits	0.9345985714414667	0.9293921032892554	0.9417106209542075	0.9401262476821715
LinearSVC	BAHD	donor	function_logits	0.9337343221361764	0.9192186295704582	0.9361214337089426	0.9321603957890541
LightGBM	BAHD	donor	function_logits	0.92102171634969	0.9093374525418946	0.9171511627906977	0.9130006405793807
ExtraTrees	BAHD	donor	function_logits	0.9206206722502086	0.9076124590463467	0.9182937245264925	0.9128315364359902
RandomForest	BAHD	donor	function_logits	0.9199417238513095	0.9104383166301957	0.9189080855909855	0.9147134820466216
HistGradientBoosting	BAHD	donor	function_logits	0.9186752861167873	0.9141872926611354	0.9104793514744665	0.9096369828318713
XGBoost	BAHD	donor	function_logits	0.9118645721637938	0.9046264119578775	0.9050849616398945	0.9020334054194563
LinearDiscriminantAnalysis	BAHD	donor	function_logits	0.87290153208884	0.8726976889971823	0.9020056641093263	0.9018109273877762
SGDClassifier	BAHD	donor	function_logits	0.86312124905115	0.864492189830295	0.8485525053943899	0.8557027793378574
KNeighbors	BAHD	donor	function_logits	0.8557331812783664	0.849858364897755	0.8730857408295374	0.8701480500105883
SVC_RBF	BAHD	donor	function_logits	0.8312980462602754	0.8266386847395109	0.838913779669144	0.8364044580707849
DecisionTree	BAHD	donor	function_logits	0.7526657219744933	0.7531007536215543	0.79389684727883	0.7898208434124578
GaussianNB	BAHD	donor	function_logits	0.7255095651791781	0.7246282225850935	0.7627105310477104	0.7619301764573456
BernoulliNB	BAHD	donor	function_logits	0.7213552231850315	0.7209170980117505	0.7576457983696956	0.7584336536276138
RidgeClassifier	BAHD	acceptor	function_logits	0.6532342181773995	0.4935513550477224	0.890700884935487	0.7836707832513169
LinearSVC	BAHD	acceptor	function_logits	0.5788468262019558	0.45725459303021015	0.8782483778727144	0.7846124770434264
LogisticRegression	BAHD	acceptor	function_logits	0.5752700105223895	0.4247505207543459	0.8981740793860274	0.8055978695636309
SVC_RBF	BAHD	acceptor	function_logits	0.5039985895286744	0.3382936656591573	0.855280020566074	0.7030242407748463
HistGradientBoosting	BAHD	acceptor	function_logits	0.5032798635459079	0.35811377385154425	0.8686844991394909	0.7581345111384291
RandomForest	BAHD	acceptor	function_logits	0.49685491696991	0.35339291184097554	0.8549084463481449	0.7678979894543518
XGBoost	BAHD	acceptor	function_logits	0.4930704797077077	0.335636544477455	0.8347645165432311	0.7014330368043297
LightGBM	BAHD	acceptor	function_logits	0.4768687513444286	0.35429018661226175	0.8568846323391701	0.752139207487517
ExtraTrees	BAHD	acceptor	function_logits	0.456397442312068	0.3416881434445971	0.8482353768643116	0.7702362381956503
LinearDiscriminantAnalysis	BAHD	acceptor	function_logits	0.3685983099484201	0.34294395589435944	0.8442519267745259	0.77404926241554
KNeighbors	BAHD	acceptor	function_logits	0.34117313816612976	0.21528750806167404	0.808239215283232	0.7468056354348106
DecisionTree	BAHD	acceptor	function_logits	0.2204016678807716	0.17845784035638856	0.707234274681947	0.6383242431988495
SGDClassifier	BAHD	acceptor	function_logits	0.14576119251512792	0.18485689241191866	0.7202723587220574	0.703799489005784
GaussianNB	BAHD	acceptor	function_logits	0.09098454832324349	0.08807900461597053	0.6871706299886837	0.6253644113576222
BernoulliNB	BAHD	acceptor	function_logits	0.07864207111512297	0.08138845452525943	0.6453476754256952	0.6301816530737723
