model	num_labels_screened	mean_Accuracy	median_Accuracy	mean_Balanced Accuracy	median_Balanced Accuracy	mean_ROC AUC	median_ROC AUC	mean_F1 Score	median_F1 Score	mean_Time Taken	median_Time Taken
LGBMClassifier	23	0.9664461247637052	0.9782608695652174	0.685269879073829	0.6885057471264369	0.9101052164851834	0.978021978021978	0.9602604806515329	0.9747598111056831	2.3310604095458984	2.420531988143921
ExtraTreesClassifier	23	0.9650283553875236	0.9782608695652174	0.6734444019116603	0.6310924369747899	0.9089022402166853	0.9708193041526375	0.9570184923376467	0.9675107501194459	0.2585527585900348	0.24771380424499512
CalibratedClassifierCV	20	0.9505434782608695	0.9565217391304348	0.5582538802660754	0.5	0.9030332859297033	0.9563346171802054	0.9301418796326393	0.9352657004830917	3.897671663761139	3.925413489341736
LogisticRegression	23	0.9655009451795841	0.9782608695652174	0.7290663022043478	0.7325581395348837	0.8954679226745832	0.9888888888888889	0.9621286412823283	0.9782608695652174	0.18538172348685886	0.14979147911071777
RandomForestClassifier	23	0.9636105860113421	0.9782608695652174	0.6566169278068797	0.625	0.889737989675878	0.9560439560439561	0.9554090950814078	0.9675107501194459	0.7212627556013025	0.7144391536712646
RidgeClassifierCV	23	0.9659735349716445	0.9782608695652174	0.7682494281542648	0.8453781512605042	0.8889284383845152	0.9537815126050421	0.9638288904285477	0.9782608695652174	0.2284072896708613	0.15137791633605957
SVC	23	0.9655009451795841	0.967391304347826	0.6339600157128266	0.5833333333333334	0.8827989328849432	0.9839080459770115	0.9558253074759248	0.9651542267607118	0.1082344158836033	0.09808921813964844
RidgeClassifier	23	0.9626654064272211	0.9782608695652174	0.7664501985700904	0.8333333333333333	0.8812430309255823	0.9453781512605041	0.9613391365736002	0.9782608695652174	0.1426468621129575	0.15807890892028809
LinearSVC	23	0.9593572778827977	0.9782608695652174	0.7630287837086192	0.8333333333333333	0.8761407110164301	0.937984496124031	0.9584439502758372	0.9782608695652174	1.0427934501482092	1.0393109321594238
PassiveAggressiveClassifier	23	0.9612476370510398	0.9782608695652174	0.7729037523592871	0.8333333333333333	0.8756014229681313	0.9780219780219781	0.960096003904934	0.9691097308488613	0.13182123847629712	0.12270689010620117
AdaBoostClassifier	23	0.9631379962192816	0.967391304347826	0.715737337098584	0.7025210084033613	0.8698486585853703	0.9403409090909092	0.9580706543542684	0.9675107501194459	3.3603893881258755	3.5962884426116943
SGDClassifier	23	0.9603024574669187	0.967391304347826	0.7039752538630344	0.7025210084033613	0.8524528234301828	0.924390243902439	0.9565684982291418	0.9651542267607118	0.11485766327899435	0.11028790473937988
KNeighborsClassifier	23	0.970226843100189	0.9782608695652174	0.6940765520889017	0.625	0.8512168486294105	0.9431818181818181	0.963473089247185	0.9676749549496104	0.07587249382682469	0.06592416763305664
LinearDiscriminantAnalysis	23	0.9607750472589792	0.9782608695652174	0.7707142997435249	0.8265993265993266	0.8499236971277859	0.9479166666666666	0.9603594037961127	0.9778376853390176	0.2612781628318455	0.22653460502624512
BernoulliNB	23	0.8275047258979206	0.8043478260869565	0.7799911091861265	0.8579545454545454	0.8439322223666154	0.8920454545454546	0.8733093565054347	0.8528532608695651	0.07561129072438115	0.07056927680969238
NearestCentroid	23	0.8534971644612476	0.8695652173913043	0.781790324681031	0.8535353535353536	0.8372997376705503	0.8877665544332212	0.8893155729094095	0.8921652077187213	0.10170018154641856	0.09822893142700195
XGBClassifier	23	0.967391304347826	0.9782608695652174	0.6821597140913541	0.6	0.8358265737431465	0.9488636363636364	0.9599648562594109	0.9747598111056831	1.1425808927287227	0.9722824096679688
Perceptron	23	0.9475425330812854	0.9565217391304348	0.744650670631662	0.7272727272727273	0.8240011977718489	0.898876404494382	0.9493741624196531	0.9572507508821042	0.08579512264417566	0.0723416805267334
BaggingClassifier	23	0.9603024574669187	0.9565217391304348	0.6598058850247677	0.6193181818181819	0.7899947730293896	0.875968992248062	0.9530161814318587	0.9513339920948617	1.4839967333752175	1.6312825679779053
GaussianNB	23	0.9413988657844989	0.9565217391304348	0.7381651152851628	0.7563025210084033	0.7731495869070791	0.8336134453781513	0.9455409248412238	0.9606196901549227	0.07043624960857889	0.06009554862976074
ExtraTreeClassifier	23	0.9413988657844989	0.9565217391304348	0.6905472436740877	0.6951219512195121	0.6942509368611642	0.6951219512195123	0.9436627722649407	0.9485162180814354	0.0664509275685186	0.057685136795043945
DecisionTreeClassifier	23	0.9456521739130435	0.9565217391304348	0.6768245518669022	0.6756097560975609	0.6810418976298355	0.6756097560975609	0.9441476381119103	0.9495196222113662	0.38268643876780634	0.3481259346008301
QuadraticDiscriminantAnalysis	20	0.24891304347826085	0.16304347826086957	0.5737237483649859	0.5255681818181819	0.5737237483649859	0.5255681818181819	0.2633979057593233	0.20169516343046845	0.20937398672103882	0.15484344959259033
DummyClassifier	23	0.9437618147448015	0.9565217391304348	0.5	0.5	0.5	0.5	0.9171473047288541	0.9352657004830917	0.06774961430093517	0.05722332000732422
LabelPropagation	23	0.948015122873346	0.9565217391304348	0.5798885935540617	0.5454545454545454			0.9303716039798499	0.9425175052922977	0.11228619451108186	0.09230494499206543
LabelSpreading	23	0.948015122873346	0.9565217391304348	0.5798885935540617	0.5454545454545454			0.9303716039798499	0.9425175052922977	0.13148726587710174	0.10974788665771484
