model	num_labels_screened	mean_Accuracy	median_Accuracy	mean_Balanced Accuracy	median_Balanced Accuracy	mean_ROC AUC	median_ROC AUC	mean_F1 Score	median_F1 Score	mean_Time Taken	median_Time Taken
LGBMClassifier	2	0.8967391304347826	0.8967391304347826	0.8899189261031366	0.8899189261031366	0.9654522195640616	0.9654522195640616	0.895956733088024	0.895956733088024	2.2527557611465454	2.2527557611465454
CalibratedClassifierCV	2	0.8804347826086957	0.8804347826086957	0.8739755006202374	0.8739755006202374	0.9644844829877725	0.9644844829877725	0.879527470101222	0.879527470101222	2.1264543533325195	2.1264543533325195
LogisticRegression	2	0.8967391304347826	0.8967391304347826	0.895661660464292	0.895661660464292	0.964004075846181	0.964004075846181	0.8967564693371144	0.8967564693371144	0.16863179206848145	0.16863179206848145
LinearSVC	2	0.9021739130434783	0.9021739130434783	0.9032927963849017	0.9032927963849017	0.9603352604997342	0.9603352604997342	0.9023579647041501	0.9023579647041501	0.5229254961013794	0.5229254961013794
PassiveAggressiveClassifier	2	0.9076086956521738	0.9076086956521738	0.9088195552011341	0.9088195552011341	0.9584690102782207	0.9584690102782207	0.9077732758830432	0.9077732758830432	0.13453519344329834	0.13453519344329834
RandomForestClassifier	2	0.9021739130434783	0.9021739130434783	0.8977632686514265	0.8977632686514265	0.9569371068137515	0.9569371068137515	0.9017425810904072	0.9017425810904072	0.7597321271896362	0.7597321271896362
XGBClassifier	2	0.875	0.875	0.8708217038809144	0.8708217038809144	0.9553636695906432	0.9553636695906432	0.8746808527977377	0.8746808527977377	2.718133330345154	2.718133330345154
Perceptron	2	0.9021739130434783	0.9021739130434783	0.9062943026758816	0.9062943026758816	0.9538670698210172	0.9538670698210172	0.9025455447406545	0.9025455447406545	0.09061574935913086	0.09061574935913086
ExtraTreesClassifier	2	0.9076086956521738	0.9076086956521738	0.9038687311713628	0.9038687311713628	0.9525989057239057	0.9525989057239057	0.9073667777746953	0.9073667777746953	0.34800970554351807	0.34800970554351807
RidgeClassifierCV	2	0.9184782608695652	0.9184782608695652	0.919922913343966	0.919922913343966	0.9515744063441431	0.9515744063441431	0.9184506448332777	0.9184506448332777	0.2150212526321411	0.2150212526321411
RidgeClassifier	2	0.9076086956521738	0.9076086956521738	0.9085592769803297	0.9085592769803297	0.9506412812333864	0.9506412812333864	0.9076581687309033	0.9076581687309033	0.18337559700012207	0.18337559700012207
SGDClassifier	2	0.8641304347826086	0.8641304347826086	0.8610418881800461	0.8610418881800461	0.948727959418749	0.948727959418749	0.8639189740171508	0.8639189740171508	0.0928107500076294	0.0928107500076294
AdaBoostClassifier	2	0.8695652173913043	0.8695652173913043	0.8630355085947191	0.8630355085947191	0.9485327507531456	0.9485327507531456	0.8688253612870831	0.8688253612870831	3.7295321226119995	3.7295321226119995
SVC	2	0.8858695652173914	0.8858695652173914	0.8809227139819245	0.8809227139819245	0.9470153841041999	0.9470153841041999	0.8848813048930306	0.8848813048930306	0.12688446044921875	0.12688446044921875
BaggingClassifier	2	0.8913043478260869	0.8913043478260869	0.8887725943646996	0.8887725943646996	0.9408053949583555	0.9408053949583555	0.8911833754928078	0.8911833754928078	1.9319909811019897	1.9319909811019897
NuSVC	2	0.8695652173913044	0.8695652173913044	0.8679309542796385	0.8679309542796385	0.9344348086124401	0.9344348086124401	0.8692698111363484	0.8692698111363484	0.16298139095306396	0.16298139095306396
LinearDiscriminantAnalysis	2	0.9076086956521738	0.9076086956521738	0.9085592769803297	0.9085592769803297	0.9214271276360091	0.9214271276360091	0.9076581687309033	0.9076581687309033	0.3731008768081665	0.3731008768081665
KNeighborsClassifier	2	0.8423913043478262	0.8423913043478262	0.8357284467481836	0.8357284467481836	0.918933025429736	0.918933025429736	0.8415881728379797	0.8415881728379797	0.09396755695343018	0.09396755695343018
GaussianNB	2	0.8423913043478262	0.8423913043478262	0.8459983608009923	0.8459983608009923	0.8688350057593479	0.8688350057593479	0.8428207996577809	0.8428207996577809	0.08583211898803711	0.08583211898803711
NearestCentroid	2	0.8206521739130435	0.8206521739130435	0.822268740031898	0.822268740031898	0.8524028663831296	0.8524028663831296	0.8208966983554509	0.8208966983554509	0.10994601249694824	0.10994601249694824
BernoulliNB	2	0.8260869565217391	0.8260869565217391	0.8279505582137161	0.8279505582137161	0.8500977427786638	0.8500977427786638	0.826240765630041	0.826240765630041	0.0949869155883789	0.0949869155883789
DecisionTreeClassifier	2	0.8152173913043479	0.8152173913043479	0.816113437001595	0.816113437001595	0.816113437001595	0.816113437001595	0.8156372805031529	0.8156372805031529	0.45567142963409424	0.45567142963409424
ExtraTreeClassifier	2	0.8097826086956521	0.8097826086956521	0.8091662236399078	0.8091662236399078	0.8091662236399079	0.8091662236399079	0.8100777109297599	0.8100777109297599	0.07800900936126709	0.07800900936126709
QuadraticDiscriminantAnalysis	2	0.7336956521739131	0.7336956521739131	0.7616266835016835	0.7616266835016835	0.7616266835016835	0.7616266835016835	0.719831803843024	0.719831803843024	0.25543856620788574	0.25543856620788574
DummyClassifier	2	0.5543478260869565	0.5543478260869565	0.5	0.5	0.5	0.5	0.39597549561814	0.39597549561814	0.07305514812469482	0.07305514812469482
LabelPropagation	2	0.5706521739130435	0.5706521739130435	0.592645202020202	0.592645202020202			0.49490731597212423	0.49490731597212423	0.1477276086807251	0.1477276086807251
LabelSpreading	2	0.5706521739130435	0.5706521739130435	0.592645202020202	0.592645202020202			0.49490731597212423	0.49490731597212423	0.1890801191329956	0.1890801191329956
