rank	fasta_id	score	predicted	T
1	Slyc_AAT1_XP_004244681.1	7.135375	1	867
2	Lrob_AT1_WEX29780.1	5.989817	1	449
3	Sind_AT1_BEE35702.1	5.678230	1	447
4	Oeur_AT1_XP_022859703.1	5.465725	1	448
5	Rglu_AT1_WEX29776.1	5.198046	1	448
6	Pbar_AT1_WEX29777.1	5.115532	1	447
7	Fana_SAAT_AAG13130.1	5.001029	1	452
8	Sind_AT2_BEE35703.1	4.439630	1	453
9	Fves_VAAT_CAC09062.1	4.333433	1	455
10	Obas_CAAT1_QKK36036.1	4.198517	1	443
11	Msap_AAT_CAC09063.1	3.842249	1	419
12	Osat_PMT1_BAG87540.1	3.778997	1	439
13	Cbre_BEAT_AAC18062.1	3.776554	1	433
14	Atha_CHAT_AAN09797.1	3.603139	1	454
15	Cmel_AAT1_CAA94432.1	3.472998	1	462
16	Vvin_AAT2_CBI26419.3	3.145615	1	459
17	Phyb_AAT_AAW31948.1	3.031487	1	457
18	Rhyb_AAT1_AAW31948.1	3.031487	1	457
19	Phyb_BPBT_AAU06226.1	2.682249	1	460
20	Phyb_CFAT_ABG75942.1	2.557806	1	454
21	Paxi_CFAT_ABG75942.1	2.557806	1	454
22	Spen_AAT1_AIW04708.1	2.209505	1	442
23	Spen_AAT12560_BCJ78487.1	0.320623	1	442
24	Ptri_SABT_AJD25144.1	0.044601	1	459
25	Shab_AAT11777_BCJ78486.1	-0.145182	0	442
26	Ntab_BEBT_AAN09798.1	-0.526466	0	460
27	Pcam_RAS_QDF44407.1	-0.573857	0	461
28	Ptri_BEBT_AJD25145.1	-0.661499	0	460
29	Cang_AT20_QLI57449.1	-0.735403	0	456
30	Sche_AAT10422_BCJ78482.1	-0.799281	0	442
31	Sgal_AAT10483_BCJ78483.1	-0.822333	0	442
32	Cmel_AAT3_AAW51125.1	-0.862756	0	459
33	Wvil_BAT1_WvBAHD8	-0.976675	0	458
34	Spim_AAT11589_BCJ78481.1	-1.012460	0	442
35	Lori_AAT1_WKK95849.1	-1.019974	0	459
36	Sole_SOAP10_KNA12459.1	-1.105381	0	512
37	Aagr_HCT6_QPI70575.1	-1.117604	0	434
38	Sbic_FMT_EES15804.1	-1.133607	0	440
39	Sneo_AAT10247_BCJ78484.1	-1.137668	0	442
40	Csin_AT2_THG19836.1	-1.159169	0	448
41	Arac_HPT1_QAA12830.1	-1.160331	0	448
42	Egra_5AT_BAF49288.1	-1.174726	0	465
43	Jsam_BEAT1_UJH94663.1	-1.177694	0	448
44	Hpol_BAHD3_NA	-1.202263	0	459
45	Osat_AT10_BAD33123.1	-1.208364	0	443
46	Pvir_PMT_KAG2616253.1	-1.234803	0	427
47	Mlon_AT2_NA	-1.249668	0	432
48	Obas_CAAT2_QKK36037.1	-1.267573	0	472
49	Hann_HCT1_QBM78941.1	-1.276985	0	434
50	Ltri_CAAT1_AHA90802.1	-1.308314	0	463
