rank	fasta_id	score	predicted	T
1	Atha_3AT1_AEE27636.1	11.471045	1	469
2	Atha_3AT2_AAF86513.1	11.012733	1	465
3	Gtri_53AAT_BAA74428.1	9.036253	1	469
4	Ntab_MAT1_BAD93691.1	8.850841	1	453
5	Dlan_MAT1_QUW17232.1	8.310958	1	457
6	Zmay_AAT1_ONM11762.1	7.997219	1	483
7	Lpur_3MAT1_AAS77404.1	7.935035	1	461
8	Dlan_MAT2_QWS71079.1	7.838321	1	457
9	Vhyb_3MAT1_AAS77402.1	7.237778	1	461
10	Paff_BAHD21_NA	7.030985	1	451
11	Osat_MAT-2_BAG96218.1	6.951378	1	488
12	Egra_5AT_BAF49288.1	6.850729	1	465
13	Atha_5MAT_BAB01191.1	6.822252	1	449
14	Pfru_3AT_BAA93475.1	6.798683	1	446
15	Sspl_5MAT1_AAL50566.1	6.295940	1	462
16	Dmor_3MAT3_BAF50706.1	5.974484	1	454
17	Atha_PMAT2_BAB02518.1	5.882145	1	451
18	Dmor_3MAT1_AAQ63615.1	5.738390	1	459
19	Mtru_MAT3_ABY91221.1	5.581229	1	483
20	Dmor_3MAT2_AAQ63616.1	5.479048	1	460
21	Ccro_AT1_AXB26761.1	5.474798	1	433
22	Ccro_AT2_AXB26762.1	5.474798	1	433
23	Mtru_MAT1_ABY91220.1	4.731238	1	472
24	Mtru_MAT2_ABY91222.1	4.418371	1	476
25	Ihol_3AT1_BAE72676.1	4.346895	1	429
26	Atha_PMAT1_AED94391.1	4.162034	1	469
27	Ihol_3AT2_BAE94328.1	4.048654	1	429
28	Sspl_5MAT2_AAR26385.1	3.777003	1	417
29	Vvin_3AT_AKF15588.1	3.175981	1	427
30	Csin_AT1_THG04858.1	3.157667	1	515
31	Csin_AT2_THG19836.1	2.851242	1	448
32	Dvar_3MAT_AAO12206.1	2.835144	1	460
33	Dpin_3MAT_AAO12206.1	2.835144	1	460
34	Scru_3MAT_AAO38058	2.355848	1	461
35	Pcru_3MAT_AAO38058.1	2.355848	1	461
36	Atha_HCT_BAB10316.1	2.287909	1	433
37	Csin_HCT2_THG02040.1	2.181772	1	436
38	Smoe_HCT1a_XP_002979061.1	1.904396	1	451
39	Some_HCT_EFJ20018.1	1.904396	1	451
40	Gmax_MT7_ABY59019.1	1.864024	1	467
41	Slyc_HCT_XP_004235891.1	1.515374	1	435
42	Cblu_HCT_CBI83579.1	0.903820	1	427
43	Pscu_HCT2_CBI83579.1	0.903820	1	427
44	Gmax_IMAT1_AQY54373.1	0.738409	1	476
45	Gmax_IMAT3_AQY54374.1	0.155647	1	467
46	Ntab_HCT_CAD47830.1	0.077035	1	435
47	Cint_HCT1_ANN12608.1	-0.349292	0	434
48	Atha_ACT1_NP_200924.1	-0.464923	0	452
49	Ccan_HCT_ABO47805.1	-0.490099	0	434
50	Pcam_HCT_QDF44405.1	-0.519393	0	430
