rank	fasta_id	score	predicted	T
1	Atha_THAA2_AAO63428.1	5.385434	1	426
2	Sole_SOAP10_KNA12459.1	5.249445	1	512
3	Maze_AT1704_NA	5.222198	1	453
4	Amem_AT7-3_WMQ79387.1	4.987641	1	446
5	Atha_THAA1_BAB11062.1	4.906606	1	443
6	Bser_AT1_QXN66176.1	4.788370	1	442
7	Maze_AT8824_KAJ4723782.1	4.687108	1	457
8	Gmax_SSACT1_KRH01153.1	4.385543	1	511
9	Slyc_HCT_XP_004235891.1	2.771166	1	435
10	Ntab_HCT_CAD47830.1	0.110356	1	435
11	Ccar_HCT_AAZ80046.1	-0.806887	0	436
12	Atha_BIA1_CAB10319.1	-0.812401	0	435
13	Ccan_HCT_ABO47805.1	-0.835642	0	434
14	Cint_HCT1_ANN12608.1	-0.938362	0	434
15	Ssin_ASAT5_ART34014.1	-0.958537	0	431
16	Atha_5MAT_BAB01191.1	-0.962712	0	449
17	Psom_SALAT_AAK73661.1	-0.998113	0	474
18	Asch_AKS2_URS65388.1	-1.071715	0	450
19	Pcam_HCT_QDF44405.1	-1.129889	0	430
20	Mdom_AAT1_AAU14879.2	-1.139739	0	455
21	Lint_AAT-3_AIW81431.1	-1.176341	0	447
22	Ccan_HQT_ABO77957.1	-1.177735	0	430
23	Aeuc_AAT1_BDW80083.1	-1.193651	0	437
24	Fves_VAAT_CAC09062.1	-1.193703	0	455
25	Pcam_RAS_QDF44407.1	-1.201651	0	461
26	Osat_AT10_BAD33123.1	-1.219287	0	443
27	Epla_SAT1-2_BDW80076.1	-1.268008	0	442
28	Ssin_ASAT1_ART34011.1	-1.294665	0	440
29	Sbic_FMT_EES15804.1	-1.313745	0	440
30	Csin_HCT2_THG02040.1	-1.315358	0	436
31	Pcam_HQT_QDF44406.1	-1.321107	0	433
32	Epur_HCT_QRI59128.1	-1.322493	0	434
33	Epep_BAHD11_NA	-1.338890	0	445
34	Atha_PMAT1_AED94391.1	-1.352705	0	469
35	Tcus_TAX19_AAU89980.1	-1.358033	0	442
36	Ccro_HCT_WKA69991.1	-1.364737	0	440
37	Squi_TAIAT_QNR60311.1	-1.392239	0	430
38	Mtru_MAT2_ABY91222.1	-1.397793	0	476
39	Sgla_HQT1_WYJ75404.1	-1.408666	0	427
40	Mdom_SHT_ALF00095.1	-1.427115	0	455
41	Epep_BAHD7_NA	-1.427495	0	450
42	Lsat_BOS_QYL33117.1	-1.440500	0	439
43	Ltri_CAAT1_AHA90802.1	-1.449958	0	463
44	Hann_HCT2_QBM78942.1	-1.450642	0	430
45	Squi_ASAT1H_UTN00742.1	-1.455228	0	435
46	Epep_BAHD8_NA	-1.462714	0	434
47	Cint_HCT2_ANN12609.1	-1.463760	0	430
48	Ecoc_CS_AGT56097.1	-1.474568	0	437
49	Aeuc_SAT2_BDW80080.1	-1.486935	0	440
50	Egra_5AT_BAF49288.1	-1.495046	0	465
