rank	fasta_id	score	predicted	T
1	Fana_SAAT_AAG13130.1	6.351736	1	452
2	Fves_VAAT_CAC09062.1	6.254284	1	455
3	Rhyb_AAT1_AAW31948.1	-0.551819	0	457
4	Phyb_AAT_AAW31948.1	-0.551819	0	457
5	Cmel_AAT4_AAW51126.1	-1.309750	0	479
6	Squi_ASAT3H_UTN00743.1	-1.511114	0	428
7	Rser_YAT_PQ801655	-1.681917	0	426
8	Slyc_HCT_XP_004235891.1	-1.691231	0	435
9	Ssin_ASAT2_ART34012.1	-1.697216	0	423
10	Sole_SOAP10_KNA12459.1	-1.707180	0	512
11	Atha_5MAT_BAB01191.1	-1.707536	0	449
12	Mlon_AT2_NA	-1.714483	0	432
13	Ntab_ASAT2_XP_016451255.1	-1.715356	0	420
14	Epla_SAT1-1_BDW80075.1	-1.720412	0	442
15	Spen_AAT12560_BCJ78487.1	-1.732123	0	442
16	Atha_EPS1_NP_201517.1	-1.760604	0	434
17	Epla_SAT1-2_BDW80076.1	-1.763970	0	442
18	Cbra_HQT-like_GBG71902.1	-1.768491	0	558
19	Ntab_ASAT1_XP_016480914.1	-1.770051	0	527
20	Vvin_SHT_QNO39112.1	-1.772851	0	456
21	Tcus_DBAT_AAF27621.1	-1.778695	0	440
22	Asch_AKS2_URS65388.1	-1.786102	0	450
23	Pbar_AT1_WEX29777.1	-1.786903	0	447
24	Ccro_HCT_WKA69991.1	-1.794314	0	440
25	Ptri_SABT_AJD25144.1	-1.796334	0	459
26	Dcar_HCBT3_CAB06429.1	-1.798481	0	445
27	Pcam_HQT_QDF44406.1	-1.798790	0	433
28	Smel_SHT_AKP24035.1	-1.799610	0	447
29	Wlon_BAT1_NA	-1.803032	0	435
30	Pcam_RAS_QDF44407.1	-1.804643	0	461
31	Atha_THAA1_BAB11062.1	-1.806128	0	443
32	Atha_DCF_AAQ62868.1	-1.812933	0	430
33	Cbre_BEBT_AAN09796.1	-1.817396	0	456
34	Rcom_SHT_QNO39108.1	-1.820248	0	449
35	Mtru_MAT2_ABY91222.1	-1.823283	0	476
36	Zmay_CAT_ACF87722.1	-1.828237	0	435
37	Pfru_3AT_BAA93475.1	-1.837756	0	446
38	Zmay_AAT1_ONM11762.1	-1.845027	0	483
39	Pvir_HCT1a_BAO20883.1	-1.847479	0	438
40	Ibat_HQT_BAA87043.1	-1.850869	0	431
41	Post_DPBT_Pos.gene30573	-1.852412	0	450
42	Obas_CAAT2_QKK36037.1	-1.854835	0	472
43	Cros_DAT_AAC99311.1	-1.860970	0	439
44	Paxi_ASAT3_AOR06333.1	-1.862274	0	430
45	Cint_HCT2_ANN12609.1	-1.862589	0	430
46	Osat_MAT-2_BAG96218.1	-1.863679	0	488
47	Hpol_BAHD3_NA	-1.865660	0	459
48	Wvil_BAT2_WvBAHD14	-1.866871	0	411
49	Mlon_AT1_NA	-1.868200	0	427
50	Snig_AGAT1_WES72146.1	-1.878351	0	451
