rank	fasta_id	score	predicted	T
1	Epla_AAT1-1_BDW80081.1	14.465313	1	436
2	Aeuc_AAT1_BDW80083.1	12.788036	1	437
3	Epla_AAT1-2_BDW80082.1	12.717149	1	436
4	Lery_AAT1_BBV14786.1	12.458040	1	434
5	Aeuc_SAT2_BDW80080.1	12.316547	1	440
6	Epla_SAT1-2_BDW80076.1	11.948373	1	442
7	Ntab_ASAT1_XP_016480914.1	11.676722	1	527
8	Lery_AAT2_BDW80085.1	11.646564	1	442
9	Epla_SAT1-1_BDW80075.1	11.238268	1	442
10	Epep_BAHD7_NA	11.170689	1	450
11	Epla_SAT2-1_BDW80078.1	11.052547	1	441
12	Cros_MAT_AAO13736.1	10.887209	1	443
13	Lery_SAT1_BBV14785.1	10.655217	1	438
14	Epla_AAT2-2_BDW80087.1	10.629168	1	442
15	Spen_ASAT2_ALU64005.1	10.612403	1	445
16	Cros_DAT_AAC99311.1	10.563304	1	439
17	Aeuc_AAT2_BDW80089.1	10.462369	1	440
18	Slyc_GAME36_XP_004246214.1	10.352101	1	424
19	Ssin_ASAT3_ART34013.1	10.084009	1	433
20	Cros_TAT_AQP25667.1	9.951805	1	436
21	Spot_AT_UQZ09635.1	9.950245	1	461
22	Snux_AT_UQZ09626.1	9.934442	1	464
23	Shab_ASAT2_ALU64009.1	9.855642	1	445
24	Epep_BAHD11_NA	9.679260	1	445
25	Epla_SAT2-2_BDW80079.1	9.572060	1	441
26	Slyc_ASAT2_ALU64015.1	9.530582	1	446
27	Epla_AAT2-3_BDW80088.1	9.060858	1	445
28	Epla_AAT2-1_BDW80086.1	9.024960	1	440
29	Lery_SAT2_BDW80077.1	8.950388	1	440
30	Ssin_ASAT1_ART34011.1	8.879787	1	440
31	Asch_AKS1_URS65387.1	8.844861	1	419
32	Abel_TS_WPF47615.1	8.734888	1	436
33	Squi_TAIAT_QNR60311.1	8.321343	1	430
34	Snig_ASAT2_WES72145.1	8.301897	1	442
35	Mtru_MAT1_ABY91220.1	8.263703	1	472
36	Shab_ASAT3-F_AJF98584.1	8.218230	1	429
37	Obas_CAAT2_QKK36037.1	8.213682	1	472
38	Maze_AT1704_NA	8.192384	1	453
39	Paxi_ASAT3_AOR06333.1	8.192018	1	430
40	Soff_AAT1_BDW80084.1	8.116237	1	434
41	Paxi_ASAT1_AOR06331.1	8.096131	1	429
42	Ntab_ASAT2_XP_016451255.1	7.878375	1	420
43	Squi_ASAT3H_UTN00743.1	7.830877	1	428
44	Epep_BAHD8_NA	7.376348	1	434
45	Cann_AT3_NP_001311698.1	7.353898	1	440
46	Zmay_AAT1_ONM11762.1	7.343385	1	483
47	Psom_SALAT_AAK73661.1	7.310416	1	474
48	Ssin_ASAT2_ART34012.1	7.233755	1	423
49	Atha_THAA1_BAB11062.1	7.213461	1	443
50	Maze_AT8824_KAJ4723782.1	7.071198	1	457
