rank	fasta_id	score	predicted	T
1	Osat_TBT1_ANQ47375.1	6.322674	1	445
2	Osat_TBT2_ANQ47376.1	6.184491	1	448
3	Spot_AT_UQZ09635.1	5.959249	1	461
4	Osat_THT2_AAM74310.1	5.860965	1	434
5	Osat_THT1_ANQ47373.1	5.693133	1	436
6	Rser_VS_CAD89104.2	5.619217	1	421
7	Cros_DAT_AAC99311.1	5.471731	1	439
8	Snux_AT_UQZ09626.1	5.404819	1	464
9	Cros_TAT_AQP25667.1	5.184129	1	436
10	Cros_MAT_AAO13736.1	5.172569	1	443
11	Rser_YAT_PQ801655	5.151394	1	426
12	Asch_AKS1_URS65387.1	4.522876	1	419
13	Asch_AKS2_URS65388.1	4.495648	1	450
14	Lang_RAS_ABI48360.1	2.287577	1	460
15	Lang_RAS_AEA36976.1	-0.682984	0	460
16	Lint_AAT-4_AIW81432.1	-0.780084	0	417
17	Slyc_GAME36_XP_004246214.1	-1.166961	0	424
18	Maze_AT8824_KAJ4723782.1	-1.249391	0	457
19	Wlon_BAT2_NA	-1.253953	0	442
20	Ntab_ASAT2_XP_016451255.1	-1.256344	0	420
21	Pnig_PHT1_BGB46908.1	-1.295757	0	443
22	Epla_AAT1-1_BDW80081.1	-1.296436	0	436
23	Cblu_RAS_CAK55166.1	-1.300454	0	430
24	Pscu_RAS_CAK55166.1	-1.300454	0	430
25	Sbic_COSY_OQU75851.1	-1.316609	0	456
26	Ssin_ASAT1_ART34011.1	-1.329825	0	440
27	Bser_AT1_QXN66176.1	-1.335683	0	442
28	Snig_AGAT1_WES72146.1	-1.387501	0	451
29	Epep_BAHD7_NA	-1.397793	0	450
30	Obas_CAAT2_QKK36037.1	-1.399145	0	472
31	Epla_AAT2-1_BDW80086.1	-1.409265	0	440
32	Atha_AT3G47170_NP_190301.2	-1.427929	0	468
33	Lpur_3MAT1_AAS77404.1	-1.457421	0	461
34	Epur_HQT_QRI59127.1	-1.474983	0	435
35	Cann_AT3_NP_001311698.1	-1.475815	0	440
36	Aeuc_AAT1_BDW80083.1	-1.481514	0	437
37	Moff_RAS_CBW35684.1	-1.505456	0	427
38	Hpol_BAHD3_NA	-1.508898	0	459
39	Epep_BAHD11_NA	-1.530117	0	445
40	Tcus_TAX19_AAU89980.1	-1.532136	0	442
41	Sgla_HQT1_WYJ75404.1	-1.539938	0	427
42	Epla_AAT1-2_BDW80082.1	-1.540971	0	436
43	Atha_BIA1_CAB10319.1	-1.547304	0	435
44	Osat_PHT3_BAC79154.1	-1.549201	0	437
45	Bmul_HQT1_BCY27076.1	-1.575309	0	426
46	Csat_HCT_AEJ88365.1	-1.617184	0	430
47	Epep_BAHD8_NA	-1.619640	0	434
48	Lery_SAT2_BDW80077.1	-1.629673	0	440
49	Slyc_SHT_QNO39109.1	-1.648449	0	451
50	Mtru_MAT1_ABY91220.1	-1.651575	0	472
