rank	fasta_id	score	predicted	T
1	Atha_HHT1_AAL34170.1	6.659237	1	457
2	Stub_FHT_NP_001275190.1	6.534815	1	433
3	Achi_FHT_PSR89440.1	6.176673	1	432
4	Ptri_FHT1_AGJ03151.1	5.848695	1	442
5	Aagr_HFT-like_Aagr000038l.49.1	5.490700	1	517
6	Osat_DPW2_BAS75979.1	5.211806	1	447
7	Atha_DCF_AAQ62868.1	4.942358	1	430
8	Sfal_HFT-like_KAH8954438.1	4.749900	1	447
9	Epur_HMT_UHJ19789.2	4.553251	1	425
10	Tpra_HMT_ACI16631.1	4.496287	1	454
11	Pvul_HHHT_AOX15526.1	4.036914	1	449
12	Epur_HTT_QRI59126.1	3.999941	1	424
13	Ppat_HCT1_AMK38063.1	3.166939	1	591
14	Mema_HFT_NA	0.006958	1	470
15	Atha_FACT_AAN13119.1	-0.517159	0	426
16	Tpra_HDT1_AXB87812.1	-0.592895	0	452
17	Jsam_BEAT2_UJH94664.1	-1.185448	0	445
18	Ssin_ASAT1_ART34011.1	-1.206537	0	440
19	Ltri_CAAT1_AHA90802.1	-1.236576	0	463
20	Mlon_AT4_NA	-1.243166	0	436
21	Ssin_ASAT2_ART34012.1	-1.261376	0	423
22	Ecoc_HQT_AFF19203.1	-1.267798	0	433
23	Mtru_MAT3_ABY91221.1	-1.333755	0	483
24	Hpol_BAHD3_NA	-1.397389	0	459
25	Mtru_MAT2_ABY91222.1	-1.399377	0	476
26	Mlon_AT6_NA	-1.411763	0	440
27	Obas_CAAT1_QKK36036.1	-1.426877	0	443
28	Aeri_AT9_AIC83789.1	-1.442243	0	432
29	Ihol_3AT2_BAE94328.1	-1.452548	0	429
30	Ihol_3AT1_BAE72676.1	-1.456443	0	429
31	Sind_AT2_BEE35703.1	-1.463795	0	453
32	Tant_HQT1_QCI44191.1	-1.496049	0	442
33	Epla_AAT1-1_BDW80081.1	-1.501340	0	436
34	Mpol_HCT_PTQ49430.1	-1.557755	0	581
35	Maze_AT8824_KAJ4723782.1	-1.572008	0	457
36	Smel_SHT_AKP24035.1	-1.581942	0	447
37	Paxi_ASAT4_AOR06334.1	-1.588678	0	461
38	Ccar_HQT_ABK79690.1	-1.598016	0	434
39	Tcus_TAT_AAF34254.1	-1.606612	0	439
40	Osat_PMT1_BAG87540.1	-1.608021	0	439
41	Stub_COSY_M0ZYT4	-1.616644	0	444
42	Obas_CAAT2_QKK36037.1	-1.635027	0	472
43	Osat_PHT4_BAC79155.1	-1.636115	0	452
44	Asat_HHT4_QDC27803.1	-1.638800	0	445
45	Pcam_RAS_QDF44407.1	-1.640977	0	461
46	Sind_AT1_BEE35702.1	-1.648292	0	447
47	Atha_EPS1_NP_201517.1	-1.661572	0	434
48	Sbic_HCT_EES05411.1	-1.666115	0	448
49	Lalb_HMT_BAD89275.1	-1.671220	0	463
50	Sgla_RAS_WYJ75405.1	-1.690665	0	449
