rank	fasta_id	score	predicted	T
1	Wvil_BAT3_WvBAHD39	6.346582	1	443
2	Wlon_BAT1_NA	6.255787	1	435
3	Wlon_BAT2_NA	6.245275	1	442
4	Wlon_BAT3_NA	5.992641	1	424
5	Wvil_BAT4_WvBAHD40	5.317689	1	427
6	Msap_AAT_CAC09063.1	4.808086	1	419
7	Rhyb_AAT1_AAW31948.1	4.660893	1	457
8	Phyb_AAT_AAW31948.1	4.660893	1	457
9	Post_DPBT_Pos.gene30573	4.472617	1	450
10	Wvil_BAT2_WvBAHD14	4.431065	1	411
11	Lint_AAT-4_AIW81432.1	4.349116	1	417
12	Fves_VAAT_CAC09062.1	4.019102	1	455
13	Atha_CHAT_AAN09797.1	3.891815	1	454
14	Cmel_AAT4_AAW51126.1	3.795412	1	479
15	Wvil_BAT1_WvBAHD8	3.792530	1	458
16	Lint_AAT-3_AIW81431.1	3.718730	1	447
17	Wvil_BAT5_WvBAHD50	3.699054	1	419
18	Wvil_BAT6_WvBAHD28	3.665475	1	435
19	Cang_AT20_QLI57449.1	3.215809	1	456
20	Phyb_BPBT_AAU06226.1	2.799433	1	460
21	Paxi_CFAT_ABG75942.1	2.520754	1	454
22	Phyb_CFAT_ABG75942.1	2.520754	1	454
23	Slyc_HCT_XP_004235891.1	1.808542	1	435
24	Fana_SAAT_AAG13130.1	0.324221	1	452
25	Ntab_HCT_CAD47830.1	-0.255595	0	435
26	Ntab_BEBT_AAN09798.1	-0.482195	0	460
27	Lori_AAT1_WKK95849.1	-0.639372	0	459
28	Ihol_3AT2_BAE94328.1	-0.673394	0	429
29	Ptri_SABT_AJD25144.1	-0.675783	0	459
30	Obas_CAAT2_QKK36037.1	-0.777454	0	472
31	Cbre_BEBT_AAN09796.1	-0.833679	0	456
32	Hcan_PMT_KAL4341785.1	-0.897417	0	444
33	Cint_HQT3_ANN12612.1	-0.918443	0	441
34	Ptri_BEBT_AJD25145.1	-0.926274	0	460
35	Jsam_BEAT1_UJH94663.1	-0.962730	0	448
36	Osat_FMT_BAF16996.1	-1.025702	0	432
37	Pvir_PMT_KAG2616253.1	-1.033743	0	427
38	Ptri_HCT6_PNT52620.1	-1.102712	0	431
39	Ltri_CAAT1_AHA90802.1	-1.107533	0	463
40	Cmel_AAT3_AAW51125.1	-1.129362	0	459
41	Pbar_AT1_WEX29777.1	-1.140042	0	447
42	Hann_HCT2_QBM78942.1	-1.152142	0	430
43	Slyc_GAME36_XP_004246214.1	-1.196038	0	424
44	Cmel_AAT1_CAA94432.1	-1.201529	0	462
45	Atha_THAA2_AAO63428.1	-1.207946	0	426
46	Ssin_ASAT5_ART34014.1	-1.223271	0	431
47	Cint_HCT1_ANN12608.1	-1.235371	0	434
48	Epur_HCT_QRI59128.1	-1.239441	0	434
49	Ptri_HBMT1_PNT60021.1	-1.239620	0	469
50	Mdom_AAT1_AAU14879.2	-1.246758	0	455
