rank	fasta_id	score	predicted	T
1	Tcus_DBNTBT_AAM75818.1	6.835693	1	441
2	Tcan_TAX10_AAM75818.1	6.835693	1	441
3	Tcus_DBAT_AAF27621.1	6.652802	1	440
4	Twal_DBAT_AFD32413.1	6.395420	1	440
5	Tcus_TBT_AAG38049.1	6.316855	1	440
6	Tmed_BAHD22_QDM39185.1	6.086445	1	458
7	Tmed_BAHD6-13_BEK82039.1	5.926836	1	458
8	Tmed_TAT_QDM39184.1	5.749295	1	439
9	Tmed_DBAT_QDM39186.1	5.716959	1	440
10	Tcus_BAPT_AAL92459.1	5.339160	1	445
11	Epep_BAHD12_NA	5.314432	1	448
12	Epep_BAHD8_NA	5.311395	1	434
13	Epep_BAHD7_NA	5.218236	1	450
14	Epep_BAHD6_NA	4.898990	1	422
15	Epep_BAHD11_NA	4.663054	1	445
16	Tcus_TAT_AAF34254.1	3.514982	1	439
17	Tcus_TAX19_AAU89980.1	-0.350661	0	442
18	Cmel_AAT4_AAW51126.1	-1.202224	0	479
19	Atha_GGES_AED96958.1	-1.290483	0	443
20	Sspl_5MAT2_AAR26385.1	-1.302390	0	417
21	Rser_YAT_PQ801655	-1.342955	0	426
22	Natt_DH29_AET80686.1	-1.348229	0	449
23	Cbre_BEBT_AAN09796.1	-1.367415	0	456
24	Schi_CFAT_URQ03862.1	-1.392263	0	455
25	Asch_AKS2_URS65388.1	-1.404958	0	450
26	Ccan_HCT_ABO47805.1	-1.421710	0	434
27	Osat_PMT1_BAG87540.1	-1.477690	0	439
28	Cros_DAT_AAC99311.1	-1.503548	0	439
29	Wlon_BAT3_NA	-1.529567	0	424
30	Wvil_BAT6_WvBAHD28	-1.546582	0	435
31	Hann_HCT2_QBM78942.1	-1.547554	0	430
32	Ihol_3AT2_BAE94328.1	-1.549710	0	429
33	Atha_DCF_AAQ62868.1	-1.555529	0	430
34	Ntab_ASAT1_XP_016480914.1	-1.588424	0	527
35	Slyc_GAME36_XP_004246214.1	-1.633981	0	424
36	Shab_ASAT2_ALU64009.1	-1.635464	0	445
37	Snux_AT_UQZ09626.1	-1.644736	0	464
38	Dmor_3MAT1_AAQ63615.1	-1.644805	0	459
39	Hcan_PMT_KAL4341785.1	-1.647219	0	444
40	Slyc_ASAT1_NP_001316332.1	-1.651379	0	426
41	Obas_CAAT2_QKK36037.1	-1.659303	0	472
42	Cann_AT3_NP_001311698.1	-1.667668	0	440
43	Sbic_COSY_OQU75851.1	-1.669602	0	456
44	Atha_SDT_AAC23766.1	-1.688162	0	451
45	Ecoc_CS_AGT56097.1	-1.701528	0	437
46	Cmel_AAT1_CAA94432.1	-1.704792	0	462
47	Csco_HQT2_ACJ23164.1	-1.709896	0	443
48	Ccar_HQT2_ACJ23164.1	-1.709896	0	443
49	Sind_AT2_BEE35703.1	-1.716046	0	453
50	Lori_AAT1_WKK95849.1	-1.725908	0	459
