fasta_id	enzyme_id	pdb_path	function_logit_path	donor_compounds	donor_type	donor_carrier	acceptor_superclasses
Aann_UGT25_PWA63700.1	Aann_AaUGT25_PWA63700.1	UGT_structures/Aann_UGT25_PWA63700.1/AF-A0A2U1MR38-F1-model_v6.pdb	UGT_structures/Aann_UGT25_PWA63700.1/Aann_UGT25_PWA63700.1_function_logits_structure_steps10.pt				Coumarins;Flavonoids
Abel_UGT1_UGT1_QGI57841.1	Abel_AbUGT1_UGT1_QGI57841.1	UGT_structures/Abel_UGT1_UGT1_QGI57841.1/AF-A0A3B6XRM0-F1-model_v6.pdb	UGT_structures/Abel_UGT1_UGT1_QGI57841.1/Abel_UGT1_UGT1_QGI57841.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	
Acep_UGT73G1_AAP88406.1	Acep_UGT73G1_AAP88406.1	UGT_structures/Acep_UGT73G1_AAP88406.1/AF-Q7XJ50-F1-model_v6.pdb	UGT_structures/Acep_UGT73G1_AAP88406.1/Acep_UGT73G1_AAP88406.1_function_logits_structure_steps10.pt				Flavonoids
Achi_F3GGT1_A0A2R6QXF8	Achi_F3GGT1_A0A2R6QXF8	UGT_structures/Achi_F3GGT1_A0A2R6QXF8/AF-A0A2R6QXF8-F1-model_v6.pdb	UGT_structures/Achi_F3GGT1_A0A2R6QXF8/Achi_F3GGT1_A0A2R6QXF8_function_logits_structure_steps10.pt	UDP - Xyl	pentose	UDP	Flavonoids
Achi_UFGT3a_A0A2R6Q8R5	Achi_AcUFGT3a_A0A2R6Q8R5	UGT_structures/Achi_UFGT3a_A0A2R6Q8R5/AF-A0A2R6Q8R5-F1-model_v6.pdb	UGT_structures/Achi_UFGT3a_A0A2R6Q8R5/Achi_UFGT3a_A0A2R6Q8R5_function_logits_structure_steps10.pt	UDP-Gal;UDP-glucose	hexose	UDP	Flavonoids
Achi_UGT79B37_AML76629.1	Achi_AcUGT79B37_AML76629.1	UGT_structures/Achi_UGT79B37_AML76629.1/AF-A0A126WVQ9-F1-model_v6.pdb	UGT_structures/Achi_UGT79B37_AML76629.1/Achi_UGT79B37_AML76629.1_function_logits_structure_steps10.pt				Flavonoids
Acor_GaT_BAD06514.1	Acor_ACGaT_BAD06514.1	UGT_structures/Acor_GaT_BAD06514.1/AF-Q76G23-F1-model_v6.pdb	UGT_structures/Acor_GaT_BAD06514.1/Acor_GaT_BAD06514.1_function_logits_structure_steps10.pt	UDP-Gal	hexose	UDP	Flavonoids
Adel_GT4_AIL51400.1	Adel_AdGT4_AIL51400.1	UGT_structures/Adel_GT4_AIL51400.1/AF-A0A077EMP8-F1-model_v6.pdb	UGT_structures/Adel_GT4_AIL51400.1/Adel_GT4_AIL51400.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	
Agra_UCGalT1_AXU98426.1	Agra_AgUCGalT1_AXU98426.1	UGT_structures/Agra_UCGalT1_AXU98426.1/AF-A0A346XR64-F1-model_v6.pdb	UGT_structures/Agra_UCGalT1_AXU98426.1/Agra_UCGalT1_AXU98426.1_function_logits_structure_steps10.pt	UDP-Gal	hexose	UDP	Flavonoids
Agra_UGT94AX1_AgApiT_BDH72951.1	Agra_UGT94AX1_AgApiT_BDH72951.1	UGT_structures/Agra_UGT94AX1_AgApiT_BDH72951.1/AF-A0AA52HX43-F1-model_v6.pdb	UGT_structures/Agra_UGT94AX1_AgApiT_BDH72951.1/Agra_UGT94AX1_AgApiT_BDH72951.1_function_logits_structure_steps10.pt	UDP-apiose	pentose	UDP	
Amaj_UGT10_ABR57234.1	Amaj_AmUGT10_ABR57234.1	UGT_structures/Amaj_UGT10_ABR57234.1/AF-Q33DV3-F1-model_v6.pdb	UGT_structures/Amaj_UGT10_ABR57234.1/Amaj_UGT10_ABR57234.1_function_logits_structure_steps10.pt	UDP-glucuronic acid	hexose_derivative	UDP	Flavonoids
Amaj_UGT88D4_BAG31945.1	Amaj_UGT88D4_BAG31945.1	UGT_structures/Amaj_UGT88D4_BAG31945.1/AF-B2NIC9-F1-model_v6.pdb	UGT_structures/Amaj_UGT88D4_BAG31945.1/Amaj_UGT88D4_BAG31945.1_function_logits_structure_steps10.pt	UDP-glucuronic acid	hexose_derivative	UDP	Coumarins;Flavonoids;Isoflavonoids;Lignans;Polycyclic aromatic polyketides
Amem_UGT71G10_WLF94737.1	Amem_AmUGT71G10_WLF94737.1	UGT_structures/Amem_UGT71G10_WLF94737.1/AF-A0AA49KF39-F1-model_v6.pdb	UGT_structures/Amem_UGT71G10_WLF94737.1/Amem_UGT71G10_WLF94737.1_function_logits_structure_steps10.pt				Flavonoids
Amem_UGT88E29_WLF94735.1	Amem_AmUGT88E29_WLF94735.1	UGT_structures/Amem_UGT88E29_WLF94735.1/AF-A0AA49KF26-F1-model_v6.pdb	UGT_structures/Amem_UGT88E29_WLF94735.1/Amem_UGT88E29_WLF94735.1_function_logits_structure_steps10.pt				Isoflavonoids
