rank	fasta_id	score	predicted	T
1	Mpol_HCT_PTQ49430.1	19.287590	1	581
2	Mpal_HCT_AXN55971.1	16.580530	1	560
3	Pnig_HCT1_AEN02914.1	15.134127	1	297
4	Papp_HCT_AXN55972.1	14.386937	1	564
5	Cint_HQT1_ANN12610.1	13.231770	1	438
6	Ntab_HCT_CAD47830.1	12.863800	1	435
7	Ppat_HCT1_AMK38063.1	12.698351	1	591
8	Ccar_HQT_ABK79689.1	12.621989	1	434
9	Pcam_HCT_QDF44405.1	12.583747	1	430
10	Cint_HCT1_ANN12608.1	12.465138	1	434
11	Ccar_HCT_AAZ80046.1	12.348026	1	436
12	Tpra_HST_ACI16630.1	12.238698	1	434
13	Hann_HQT1_QBM78938.1	12.080001	1	434
14	Slyc_HCT_XP_004235891.1	12.067625	1	435
15	Hann_HCT1_QBM78941.1	12.007401	1	434
16	Ccar_HQT1_CAM84302.2	11.945981	1	449
17	Csco_HQT1_CAM84302.2	11.945981	1	449
18	Ccar_HQT_ABK79690.1	11.890412	1	434
19	Csin_HCT2_THG02040.1	11.680085	1	436
20	Epur_HCT_QRI59128.1	11.658402	1	434
21	Ptri_HCT6_PNT52620.1	11.621399	1	431
22	Atha_HCT_BAB10316.1	11.611160	1	433
23	Cint_HQT3_ANN12612.1	11.584833	1	441
24	Hann_HQT3_QBM78940.1	11.275973	1	441
25	Ccar_HQT2_ACJ23164.1	11.169254	1	443
26	Csco_HQT2_ACJ23164.1	11.169254	1	443
27	Sgla_HST_WYJ75403.1	11.167661	1	436
28	Hann_HCT2_QBM78942.1	11.103893	1	430
29	Prad_HCT_ABO52899.1	10.966716	1	433
30	Ljap_HQT_ACZ52698.1	10.953415	1	439
31	Ccan_HCT_ABO47805.1	10.869311	1	434
32	Tant_HQT1_QCI44191.1	10.741096	1	442
33	Csat_HCT_AEJ88365.1	10.736000	1	430
34	Csin_HCT1_XP_028081726.1	10.721619	1	434
35	Slyc_HQT_CAE46933.1	10.686977	1	430
36	Mlon_AT1_NA	10.616729	1	427
37	Hann_HQT2_QBM78939.1	10.608236	1	440
38	Cint_HCT2_ANN12609.1	10.593869	1	430
39	Ibat_HQT_BAA87043.1	10.512879	1	431
40	Ntab_HQT_CAE46932.1	10.408992	1	436
41	Cblu_HCT_CBI83579.1	10.063155	1	427
42	Pscu_HCT2_CBI83579.1	10.063155	1	427
43	Epur_HQT_QRI59127.1	9.561025	1	435
44	Cint_HQT2_ANN12611.1	9.546454	1	439
45	Smoe_HCT1a_XP_002979061.1	9.335668	1	451
46	Some_HCT_EFJ20018.1	9.335668	1	451
47	Ccan_HQT_ABO77957.1	9.298844	1	430
48	Tant_HQT2_QBQ52948.1	8.977337	1	439
49	Bmul_HQT1_BDR61289.1	8.738249	1	439
50	Sgla_HQT1_WYJ75404.1	8.720484	1	427
