rank	fasta_id	score	predicted	T
1	Dcar_HCBT3_CAB06429.1	5.667918	1	445
2	Lsat_BOS_QYL33117.1	4.685600	1	439
3	Dcar_HCBT2_CAB06430.1	4.576798	1	446
4	Tpra_HDT1_AXB87812.1	4.188350	1	452
5	Sgla_RAS_WYJ75405.1	3.947421	1	449
6	Aagr_HCT6_QPI70575.1	3.892320	1	434
7	Atha_HCT_BAB10316.1	3.273906	1	433
8	Sgla_HST_WYJ75403.1	3.139364	1	436
9	Sgla_HQT1_WYJ75404.1	3.111338	1	427
10	Ptri_HCT6_PNT52620.1	3.013457	1	431
11	Prad_HCT_ABO52899.1	3.011792	1	433
12	Pvir_HCT2a_AGM90558.1	2.990401	1	446
13	Ppat_HCT1_AMK38063.1	2.856146	1	591
14	Asat_HCBT_BAC78635.1	2.811846	1	440
15	Smoe_HCT1a_XP_002979061.1	2.666541	1	451
16	Some_HCT_EFJ20018.1	2.666541	1	451
17	Pscu_RAS_CAK55166.1	2.399837	1	430
18	Cblu_RAS_CAK55166.1	2.399837	1	430
19	Lang_RAS_ABI48360.1	2.113004	1	460
20	Cblu_HCT_CBI83579.1	1.499954	1	427
21	Pscu_HCT2_CBI83579.1	1.499954	1	427
22	Csat_HCT_AEJ88365.1	0.934054	1	430
23	Asat_HHT1_BAC78633.1	0.887050	1	441
24	Sbic_HCT_EES05411.1	0.832131	1	448
25	Moff_RAS_CBW35684.1	0.197899	1	427
26	Ccan_HCT_ABO47805.1	0.031595	1	434
27	Csin_HCT1_XP_028081726.1	-0.034148	0	434
28	Asat_HHT4_QDC27803.1	-0.159777	0	445
29	Mlon_AT1_NA	-0.273950	0	427
30	Lang_RAS_AEA36976.1	-0.420929	0	460
31	Csin_HCT2_THG02040.1	-0.422120	0	436
32	Pvir_HCT1a_BAO20883.1	-0.446799	0	438
33	Hann_HCT1_QBM78941.1	-0.464685	0	434
34	Slyc_HCT_XP_004235891.1	-0.579067	0	435
35	Wvil_BAT6_WvBAHD28	-0.660088	0	435
36	Pcam_HCT_QDF44405.1	-0.708276	0	430
37	Bmul_HQT1_BDR61289.1	-0.761692	0	439
38	Tpra_HST_ACI16630.1	-0.819064	0	434
39	Mlon_AT2_NA	-0.836736	0	432
40	Atha_EPS1_NP_201517.1	-0.844259	0	434
41	Tpra_HMT_ACI16631.1	-0.880863	0	454
42	Ibat_HQT_BAA87043.1	-0.951530	0	431
43	Cint_HCT1_ANN12608.1	-0.962827	0	434
44	Msap_AAT_CAC09063.1	-0.985203	0	419
45	Ptri_FHT1_AGJ03151.1	-1.040322	0	442
46	Pnig_PHT1_BGB46908.1	-1.049755	0	443
47	Hann_HCT2_QBM78942.1	-1.068344	0	430
48	Tant_HQT1_QCI44191.1	-1.090126	0	442
49	Rcan_SHT_QNO39111.1	-1.130192	0	469
50	Slyc_HQT_CAE46933.1	-1.134659	0	430
