rank	fasta_id	score	predicted	T
1	Pnig_PAS_QUS53101.1	6.284236	1	460
2	Pnig_PS_QUS53100.1	6.249256	1	461
3	Lalb_HMT_BAD89275.1	4.812456	1	463
4	Cmel_AAT3_AAW51125.1	-1.254133	0	459
5	Post_DPBT_Pos.gene30573	-1.323092	0	450
6	Pfru_3AT_BAA93475.1	-1.386785	0	446
7	Csin_AT1_THG04858.1	-1.392616	0	515
8	Achi_AT16_PSS01274.1	-1.404352	0	456
9	Gmax_SSACT1_KRH01153.1	-1.446478	0	511
10	Pper_AAT1_QEZ90730.1	-1.471431	0	450
11	Cmel_AAT1_CAA94432.1	-1.510685	0	462
12	Vlab_AMAT_AAW22989.1	-1.514116	0	449
13	Lery_SAT2_BDW80077.1	-1.523944	0	440
14	Atha_THAA1_BAB11062.1	-1.528846	0	443
15	Dcar_HCBT2_CAB06430.1	-1.539297	0	446
16	Tmed_BAHD22_QDM39185.1	-1.567321	0	458
17	Osat_AT10_BAD33123.1	-1.571293	0	443
18	Ntab_ASAT2_XP_016451255.1	-1.576271	0	420
19	Csin_CHAT1_GMQ03793.1	-1.580701	0	464
20	Abel_TS_WPF47615.1	-1.581335	0	436
21	Sfal_HFT-like_KAH8954438.1	-1.595145	0	447
22	Wvil_BAT6_WvBAHD28	-1.598348	0	435
23	Ltri_CAAT1_AHA90802.1	-1.600942	0	463
24	Mlon_AT4_NA	-1.618567	0	436
25	Lint_AAT-3_AIW81431.1	-1.620682	0	447
26	Lpur_3MAT1_AAS77404.1	-1.640911	0	461
27	Cang_AT20_QLI57449.1	-1.653473	0	456
28	Tcus_DBAT_AAF27621.1	-1.658205	0	440
29	Csat_HCT_AEJ88365.1	-1.674731	0	430
30	Slyc_PHT2_UTQ10235.1	-1.681276	0	443
31	Epep_BAHD6_NA	-1.681896	0	422
32	Ccar_HQT1_CAM84302.2	-1.686661	0	449
33	Csco_HQT1_CAM84302.2	-1.686661	0	449
34	Cbre_BEBT_AAN09796.1	-1.687158	0	456
35	Tmed_BAHD6-13_BEK82039.1	-1.688485	0	458
36	Pcam_RAS_QDF44407.1	-1.692093	0	461
37	Atha_SHT_AAD12025.1	-1.693527	0	451
38	Csin_AT2_THG19836.1	-1.698618	0	448
39	Lery_AAT1_BBV14786.1	-1.704462	0	434
40	Prad_HCT_ABO52899.1	-1.709916	0	433
41	Atha_GGES_AED96958.1	-1.725668	0	443
42	Sgla_HQT2_WYJ75406.1	-1.726069	0	441
43	Sche_AAT10422_BCJ78482.1	-1.733847	0	442
44	Paxi_ASAT4_AOR06334.1	-1.734084	0	461
45	Mdom_AAT1_AAU14879.2	-1.739185	0	455
46	Osat_MAT-2_BAG96218.1	-1.741980	0	488
47	Ssin_ASAT1_ART34011.1	-1.753974	0	440
48	Epur_HTT_QRI59126.1	-1.754336	0	424
49	Ntab_ASAT1_XP_016480914.1	-1.756850	0	527
50	Stub_COSY_M0ZYT4	-1.761458	0	444
