rank	fasta_id	score	predicted	T
1	Hvul_ACT1-1_AAO73071.1	16.912298	1	439
2	Hvul_ACT1-1_BAF97626	16.912298	1	439
3	Hvul_ACT1-2_BAF97627.1	16.496374	1	439
4	Taes_ACT1-2_BCN87079.1	15.890885	1	441
5	Taes_ACT1-1_BCN87078.1	15.565429	1	441
6	Hmur_ACT_BCN87077.1	14.071376	1	441
7	Hvul_ACT2_BAK00935.1	14.031785	1	438
8	Taes_ACT2_AMY96376.1	13.611674	1	441
9	Osat_AHT1_CAE03579.1	11.969036	1	449
10	Slyc_PHT2_UTQ10235.1	10.754663	1	443
11	Slyc_PHT1_UTQ10234.1	9.727997	1	443
12	Osat_PHT3_BAC79154.1	9.374849	1	437
13	Natt_AT1_AET80688.1	9.362307	1	438
14	Rcan_SHT_QNO39111.1	7.891136	1	469
15	Osat_PHT2_BAD72527.1	7.713750	1	319
16	Osat_PHT4_BAC79155.1	7.698274	1	452
17	Mdom_SHT_ALF00095.1	7.665470	1	455
18	Cint_SHT1_AXY93625.1	6.902944	1	451
19	Pnig_PHT1_BGB46908.1	6.822179	1	443
20	Cint_SHT2_AXY93626.1	6.793891	1	452
21	Rcom_SHT_QNO39108.1	6.239326	1	449
22	Vvin_SHT_QNO39112.1	5.983638	1	456
23	Ntab_SHT_QNO39110.1	5.598764	1	448
24	Atha_PHT_OAO95042.1	5.302112	1	450
25	Atha_SHT_AAD12025.1	5.299736	1	451
26	Atha_SCT_AAP81804.1	5.109050	1	461
27	Natt_DH29_AET80686.1	4.673252	1	449
28	Sric_SHT_AMB21755.1	4.599134	1	447
29	Atha_SDT_AAC23766.1	4.558255	1	451
30	Slyc_SHT_QNO39109.1	4.485288	1	451
31	Osat_TBT1_ANQ47375.1	4.075026	1	445
32	Smel_SHT_AKP24035.1	4.048203	1	447
33	Atha_AT3G47170_NP_190301.2	4.016251	1	468
34	Ecoc_CS_AGT56097.1	3.782999	1	437
35	Atha_ACT1_NP_200924.1	3.546335	1	452
36	Osat_THT1_ANQ47373.1	3.157994	1	436
37	Osat_TBT2_ANQ47376.1	0.569271	1	448
38	Osat_THT2_AAM74310.1	-0.130534	0	434
39	Bser_AT1_QXN66176.1	-1.092400	0	442
40	Sbic_COSY_OQU75851.1	-1.342538	0	456
41	Jsam_BEAT1_UJH94663.1	-1.359906	0	448
42	Papp_HCT_AXN55972.1	-1.374539	0	564
43	Vvin_3AT_AKF15588.1	-1.429089	0	427
44	Zmay_FMT_AQK78565.1	-1.544646	0	433
45	Sind_AT2_BEE35703.1	-1.545805	0	453
46	Cbre_BEAT_AAC18062.1	-1.555170	0	433
47	Atha_BIA1_CAB10319.1	-1.574132	0	435
48	Asat_HCBT_BAC78635.1	-1.621343	0	440
49	Slyc_ASAT3_AJF98582.1	-1.650456	0	430
50	Ihol_3AT1_BAE72676.1	-1.675594	0	429
