rank	fasta_id	score	predicted	T
1	Aeuc_SAT2_BDW80080.1	12.820204	1	440
2	Epla_AAT2-2_BDW80087.1	12.150685	1	442
3	Lery_AAT2_BDW80085.1	12.144335	1	442
4	Aeuc_AAT2_BDW80089.1	11.878170	1	440
5	Epla_AAT2-1_BDW80086.1	11.659868	1	440
6	Epla_SAT1-1_BDW80075.1	11.241927	1	442
7	Epla_SAT2-2_BDW80079.1	11.111279	1	441
8	Lery_SAT2_BDW80077.1	11.034880	1	440
9	Epla_SAT2-1_BDW80078.1	10.935899	1	441
10	Epla_AAT2-3_BDW80088.1	10.898003	1	445
11	Lery_SAT1_BBV14785.1	10.863832	1	438
12	Epla_SAT1-2_BDW80076.1	10.370636	1	442
13	Aeuc_AAT1_BDW80083.1	9.965812	1	437
14	Epla_AAT1-1_BDW80081.1	9.801591	1	436
15	Epla_AAT1-2_BDW80082.1	9.316144	1	436
16	Lery_AAT1_BBV14786.1	8.928242	1	434
17	Soff_AAT1_BDW80084.1	8.418081	1	434
18	Ntab_MAT1_BAD93691.1	4.124004	1	453
19	Atha_PMAT2_BAB02518.1	3.902983	1	451
20	Rser_YAT_PQ801655	-0.941911	0	426
21	Abel_TS_WPF47615.1	-1.168872	0	436
22	Atha_5MAT_BAB01191.1	-1.172431	0	449
23	Atha_THAA1_BAB11062.1	-1.334455	0	443
24	Dvar_3MAT_AAO12206.1	-1.402129	0	460
25	Dpin_3MAT_AAO12206.1	-1.402129	0	460
26	Aeri_AT9_AIC83789.1	-1.409859	0	432
27	Epep_BAHD7_NA	-1.411325	0	450
28	Atha_ACT1_NP_200924.1	-1.441693	0	452
29	Atha_3AT2_AAF86513.1	-1.492099	0	465
30	Epur_HMT_UHJ19789.2	-1.500328	0	425
31	Ltri_CAAT1_AHA90802.1	-1.507545	0	463
32	Asch_AKS2_URS65388.1	-1.516546	0	450
33	Slyc_GAME36_XP_004246214.1	-1.541981	0	424
34	Ntab_ASAT2_XP_016451255.1	-1.566498	0	420
35	Ptri_HBMT1_PNT60021.1	-1.587896	0	469
36	Squi_ASAT3H_UTN00743.1	-1.592789	0	428
37	Bser_AT1_QXN66176.1	-1.609351	0	442
38	Natt_DH29_AET80686.1	-1.618312	0	449
39	Sfal_HFT-like_KAH8954438.1	-1.620002	0	447
40	Spen_ASAT3_AJF98583.1	-1.633201	0	428
41	Tant_HQT1_QCI44191.1	-1.640007	0	442
42	Mtru_MAT3_ABY91221.1	-1.642333	0	483
43	Pfru_3AT_BAA93475.1	-1.649812	0	446
44	Obas_CAAT1_QKK36036.1	-1.656872	0	443
45	Lrob_AT1_WEX29780.1	-1.704011	0	449
46	Cann_AT3_NP_001311698.1	-1.705522	0	440
47	Epur_HTT_QRI59126.1	-1.714783	0	424
48	Hmur_ACT_BCN87077.1	-1.724498	0	441
49	Wvil_BAT6_WvBAHD28	-1.734150	0	435
50	Tcus_TAT_AAF34254.1	-1.738810	0	439
