rank	fasta_id	score	predicted	T
1	Mtru_MAT2_ABY91222.1	6.878891	1	476
2	Mtru_MAT1_ABY91220.1	6.834686	1	472
3	Gmax_IMAT1_AQY54373.1	6.263194	1	476
4	Gmax_MT7_ABY59019.1	6.043307	1	467
5	Gmax_IMAT3_AQY54374.1	5.884830	1	467
6	Mtru_MAT3_ABY91221.1	5.652444	1	483
7	Lpur_3MAT1_AAS77404.1	4.798675	1	461
8	Atha_PMAT1_AED94391.1	4.761759	1	469
9	Osat_MAT-2_BAG96218.1	4.711174	1	488
10	Vhyb_3MAT1_AAS77402.1	4.568627	1	461
11	Dmor_3MAT3_BAF50706.1	3.931900	1	454
12	Gmax_SSACT1_KRH01153.1	0.161901	1	511
13	Dlan_MAT1_QUW17232.1	-0.544697	0	457
14	Zmay_AAT1_ONM11762.1	-0.546495	0	483
15	Sspl_5MAT1_AAL50566.1	-0.722391	0	462
16	Atha_PMAT2_BAB02518.1	-0.918439	0	451
17	Dmor_3MAT1_AAQ63615.1	-0.993585	0	459
18	Atha_5MAT_BAB01191.1	-1.050802	0	449
19	Dmor_3MAT2_AAQ63616.1	-1.059553	0	460
20	Pfru_3AT_BAA93475.1	-1.159701	0	446
21	Ntab_MAT1_BAD93691.1	-1.281958	0	453
22	Atha_ACT1_NP_200924.1	-1.314835	0	452
23	Paff_BAHD21_NA	-1.323660	0	451
24	Cros_MAT_AAO13736.1	-1.343246	0	443
25	Osat_DPW2_BAS75979.1	-1.365269	0	447
26	Dlan_MAT2_QWS71079.1	-1.372557	0	457
27	Ssin_ASAT2_ART34012.1	-1.377924	0	423
28	Stub_COSY_M0ZYT4	-1.379138	0	444
29	Egra_5AT_BAF49288.1	-1.381972	0	465
30	Atha_3AT1_AEE27636.1	-1.403154	0	469
31	Pnig_PHT1_BGB46908.1	-1.422960	0	443
32	Epep_BAHD7_NA	-1.458283	0	450
33	Obas_CAAT1_QKK36036.1	-1.464414	0	443
34	Pcam_RAS_QDF44407.1	-1.476950	0	461
35	Natt_DH29_AET80686.1	-1.536662	0	449
36	Atha_DCF_AAQ62868.1	-1.558938	0	430
37	Osat_PMT2_BAG91648.1	-1.559116	0	436
38	Cbra_HQT-like_GBG71902.1	-1.592202	0	558
39	Hann_HQT2_QBM78939.1	-1.595620	0	440
40	Maze_AT8824_KAJ4723782.1	-1.597378	0	457
41	Achi_FHT_PSR89440.1	-1.623860	0	432
42	Aeuc_SAT2_BDW80080.1	-1.656976	0	440
43	Dpin_3MAT_AAO12206.1	-1.667578	0	460
44	Dvar_3MAT_AAO12206.1	-1.667578	0	460
45	Csin_AT2_THG19836.1	-1.674916	0	448
46	Osat_THT1_ANQ47373.1	-1.694800	0	436
47	Cros_DAT_AAC99311.1	-1.711475	0	439
48	Aeuc_AAT1_BDW80083.1	-1.717786	0	437
49	Snig_AGAT1_WES72146.1	-1.732162	0	451
50	Cint_HQT1_ANN12610.1	-1.737560	0	438
