rank	fasta_id	score	predicted	T
1	Schi_CFAT_URQ03862.1	5.817640	1	455
2	Mlon_AT4_NA	5.486384	1	436
3	Ltri_CAAT1_AHA90802.1	-0.612457	0	463
4	Mlon_AT2_NA	-1.055534	0	432
5	Mlon_AT6_NA	-1.062085	0	440
6	Wvil_BAT1_WvBAHD8	-1.292356	0	458
7	Paxi_CFAT_ABG75942.1	-1.385651	0	454
8	Phyb_CFAT_ABG75942.1	-1.385651	0	454
9	Epep_BAHD8_NA	-1.525004	0	434
10	Cblu_RAS_CAK55166.1	-1.528542	0	430
11	Pscu_RAS_CAK55166.1	-1.528542	0	430
12	Aeri_AT9_AIC83789.1	-1.558817	0	432
13	Snig_ASAT1_ART34015.1	-1.561168	0	429
14	Tant_HQT2_QBQ52948.1	-1.598280	0	439
15	Osat_PHT3_BAC79154.1	-1.602203	0	437
16	Shab_ASAT3-P_AJF98591.1	-1.633164	0	428
17	Gmax_SSACT1_KRH01153.1	-1.637754	0	511
18	Pnig_PAS_QUS53101.1	-1.646594	0	460
19	Obas_CAAT2_QKK36037.1	-1.653417	0	472
20	Epla_AAT2-2_BDW80087.1	-1.654685	0	442
21	Atha_PMAT1_AED94391.1	-1.655686	0	469
22	Sspl_5MAT1_AAL50566.1	-1.670753	0	462
23	Atha_COSY_AEE31013.1	-1.671520	0	451
24	Epep_BAHD11_NA	-1.673961	0	445
25	Mpal_HCT_AXN55971.1	-1.682562	0	560
26	Moff_RAS_CBW35684.1	-1.691469	0	427
27	Gtri_53AAT_BAA74428.1	-1.694342	0	469
28	Osat_AT10_BAD33123.1	-1.694422	0	443
29	Smel_SHT_AKP24035.1	-1.694426	0	447
30	Osat_MAT-2_BAG96218.1	-1.701363	0	488
31	Pcam_HCT_QDF44405.1	-1.701880	0	430
32	Atha_ACT1_NP_200924.1	-1.703624	0	452
33	Atha_EPS1_NP_201517.1	-1.708398	0	434
34	Rser_YAT_PQ801655	-1.712028	0	426
35	Slyc_HQT_CAE46933.1	-1.735382	0	430
36	Tcus_TAT_AAF34254.1	-1.741661	0	439
37	Tcan_TAX10_AAM75818.1	-1.743402	0	441
38	Tcus_DBNTBT_AAM75818.1	-1.743402	0	441
39	Bmul_HQT1_BCY27076.1	-1.746022	0	426
40	Cang_AT20_QLI57449.1	-1.747620	0	456
41	Osat_HCT4_BAD72437.1	-1.759860	0	433
42	Atha_THAA2_AAO63428.1	-1.762307	0	426
43	Hvul_ACT1-1_BAF97626	-1.765879	0	439
44	Hvul_ACT1-1_AAO73071.1	-1.765879	0	439
45	Ntab_HCT_CAD47830.1	-1.769559	0	435
46	Cros_DAT_AAC99311.1	-1.777508	0	439
47	Osat_PMT2_BAG91648.1	-1.781002	0	436
48	Tpra_HMT_ACI16631.1	-1.787547	0	454
49	Vlab_AMAT_AAW22989.1	-1.787875	0	449
50	Phyb_BPBT_AAU06226.1	-1.788302	0	460
