rank	fasta_id	score	predicted	T
1	Cchi_AT3_AAV66309.1	5.028197	1	440
2	Cann_AT3_NP_001311698.1	4.858417	1	440
3	Osat_THT2_AAM74310.1	4.598367	1	434
4	Hpol_BAHD3_NA	4.487971	1	459
5	Psom_SALAT_AAK73661.1	4.389562	1	474
6	Osat_THT1_ANQ47373.1	4.291143	1	436
7	Sgla_RAS_WYJ75405.1	4.097604	1	449
8	Lang_RAS_ABI48360.1	3.668400	1	460
9	Cblu_HCT_CBI83579.1	3.038996	1	427
10	Pscu_HCT2_CBI83579.1	3.038996	1	427
11	Tpra_HDT1_AXB87812.1	2.844219	1	452
12	Cblu_RAS_CAK55166.1	2.833815	1	430
13	Pscu_RAS_CAK55166.1	2.833815	1	430
14	Slyc_HCT_XP_004235891.1	2.425381	1	435
15	Moff_RAS_CBW35684.1	0.389622	1	427
16	Ntab_HCT_CAD47830.1	0.226063	1	435
17	Lang_RAS_AEA36976.1	0.068842	1	460
18	Pcam_HCT_QDF44405.1	-0.376751	0	430
19	Mlon_AT1_NA	-0.387397	0	427
20	Epur_HCT_QRI59128.1	-0.657399	0	434
21	Cint_HCT1_ANN12608.1	-0.808469	0	434
22	Tpra_HMT_ACI16631.1	-0.819884	0	454
23	Csin_HCT2_THG02040.1	-0.845983	0	436
24	Atha_GGES_AED96958.1	-0.852859	0	443
25	Csat_HCT_AEJ88365.1	-0.957298	0	430
26	Epur_HQT_QRI59127.1	-0.973725	0	435
27	Cint_SHT2_AXY93626.1	-1.045606	0	452
28	Ptri_HCT6_PNT52620.1	-1.110143	0	431
29	Osat_TBT1_ANQ47375.1	-1.120172	0	445
30	Hann_HCT1_QBM78941.1	-1.156843	0	434
31	Cros_DAT_AAC99311.1	-1.158001	0	439
32	Osat_TBT2_ANQ47376.1	-1.167522	0	448
33	Cint_HCT2_ANN12609.1	-1.171366	0	430
34	Ccar_HCT_AAZ80046.1	-1.184500	0	436
35	Aagr_HCT6_QPI70575.1	-1.201909	0	434
36	Abel_TS_WPF47615.1	-1.232362	0	436
37	Obas_CAAT1_QKK36036.1	-1.249496	0	443
38	Ccan_HCT_ABO47805.1	-1.253672	0	434
39	Mlon_AT2_NA	-1.260316	0	432
40	Pcam_RAS_QDF44407.1	-1.261063	0	461
41	Stub_COSY_M0ZYT4	-1.285451	0	444
42	Asat_HHT4_QDC27803.1	-1.318518	0	445
43	Rser_VS_CAD89104.2	-1.319848	0	421
44	Mtru_MAT2_ABY91222.1	-1.330923	0	476
45	Hann_HCT2_QBM78942.1	-1.335766	0	430
46	Pcam_HQT_QDF44406.1	-1.339817	0	433
47	Cint_HQT2_ANN12611.1	-1.366515	0	439
48	Pvul_HHHT_AOX15526.1	-1.381704	0	449
49	Hcan_PMT_KAL4341785.1	-1.424652	0	444
50	Pvir_FMT_KAG2630178.1	-1.425793	0	436
