rank	fasta_id	score	predicted	T
1	Dlan_MAT2_QWS71079.1	5.437685	1	457
2	Atha_PMAT1_AED94391.1	5.285225	1	469
3	Dlan_MAT1_QUW17232.1	5.237648	1	457
4	Atha_PMAT2_BAB02518.1	5.161713	1	451
5	Atha_BIA1_CAB10319.1	5.028747	1	435
6	Atha_5MAT_BAB01191.1	-0.737473	0	449
7	Atha_ACT1_NP_200924.1	-0.970356	0	452
8	Atha_THAA1_BAB11062.1	-1.020465	0	443
9	Sspl_5MAT1_AAL50566.1	-1.110746	0	462
10	Gmax_IMAT3_AQY54374.1	-1.122465	0	467
11	Slyc_GAME36_XP_004246214.1	-1.149220	0	424
12	Sfal_HFT-like_KAH8954438.1	-1.166975	0	447
13	Rser_YAT_PQ801655	-1.312569	0	426
14	Msap_AAT_CAC09063.1	-1.344818	0	419
15	Epla_SAT2-1_BDW80078.1	-1.346028	0	441
16	Egra_5AT_BAF49288.1	-1.402371	0	465
17	Gmax_IMAT1_AQY54373.1	-1.406730	0	476
18	Gmax_SSACT1_KRH01153.1	-1.439660	0	511
19	Pvir_HCT1a_BAO20883.1	-1.473382	0	438
20	Pfru_3AT_BAA93475.1	-1.482658	0	446
21	Atha_SCT_AAP81804.1	-1.497747	0	461
22	Pnig_PHT1_BGB46908.1	-1.502182	0	443
23	Ssin_ASAT1_ART34011.1	-1.542432	0	440
24	Vhyb_3MAT1_AAS77402.1	-1.545723	0	461
25	Ntab_ASAT2_XP_016451255.1	-1.547053	0	420
26	Asch_AKS1_URS65387.1	-1.552537	0	419
27	Tmed_TAT_QDM39184.1	-1.563915	0	439
28	Atha_THAA2_AAO63428.1	-1.566625	0	426
29	Osat_HCT4_BAD72437.1	-1.572186	0	433
30	Gmax_MT7_ABY59019.1	-1.588434	0	467
31	Bmul_HQT1_BCY27076.1	-1.601273	0	426
32	Dmor_3MAT3_BAF50706.1	-1.601278	0	454
33	Vvin_SHT_QNO39112.1	-1.602508	0	456
34	Csin_HCT2_THG02040.1	-1.622198	0	436
35	Ntab_MAT1_BAD93691.1	-1.632693	0	453
36	Bmul_HQT1_BDR61289.1	-1.639218	0	439
37	Mpol_HCT_PTQ49430.1	-1.649781	0	581
38	Gtri_53AAT_BAA74428.1	-1.652268	0	469
39	Sric_SHT_AMB21755.1	-1.652685	0	447
40	Dpin_3MAT_AAO12206.1	-1.659782	0	460
41	Dvar_3MAT_AAO12206.1	-1.659782	0	460
42	Mtru_MAT1_ABY91220.1	-1.668612	0	472
43	Sche_AAT10422_BCJ78482.1	-1.679425	0	442
44	Osat_MAT-2_BAG96218.1	-1.703640	0	488
45	Sgal_AAT10483_BCJ78483.1	-1.705241	0	442
46	Paff_BAHD21_NA	-1.706115	0	451
47	Pscu_HCT2_CBI83579.1	-1.711278	0	427
48	Cblu_HCT_CBI83579.1	-1.711278	0	427
49	Sspl_5MAT2_AAR26385.1	-1.724959	0	417
50	Cint_SHT2_AXY93626.1	-1.730489	0	452
