rank	fasta_id	score	predicted	T
1	Slyc_AAT1_XP_004244681.1	16.037182	1	867
2	Sche_AAT10422_BCJ78482.1	10.785371	1	442
3	Sgal_AAT10483_BCJ78483.1	10.508806	1	442
4	Spim_AAT11589_BCJ78481.1	10.338873	1	442
5	Sneo_AAT10247_BCJ78484.1	9.600221	1	442
6	Schm_AAT11306_BCJ78485.1	9.456817	1	442
7	Shab_AAT11777_BCJ78486.1	9.392073	1	442
8	Spen_AAT1_AIW04708.1	9.053046	1	442
9	Spen_AAT12560_BCJ78487.1	8.806797	1	442
10	Fana_SAAT_AAG13130.1	6.212010	1	452
11	Atha_DCF_AAQ62868.1	6.165361	1	430
12	Achi_FHT_PSR89440.1	6.122377	1	432
13	Fves_VAAT_CAC09062.1	5.789719	1	455
14	Mdom_AAT1_AAU14879.2	5.773900	1	455
15	Atha_FACT_AAN13119.1	5.673388	1	426
16	Ptri_FHT1_AGJ03151.1	5.624110	1	442
17	Rhyb_AAT1_AAW31948.1	5.067687	1	457
18	Phyb_AAT_AAW31948.1	5.067687	1	457
19	Vlab_AMAT_AAW22989.1	4.673145	1	449
20	Stub_FHT_NP_001275190.1	4.671949	1	433
21	Achi_AT16_PSS01274.1	4.316206	1	456
22	Aeri_AT9_AIC83789.1	4.311578	1	432
23	Atha_CHAT_AAN09797.1	4.282831	1	454
24	Pper_AAT1_QEZ90730.1	4.103629	1	450
25	Cmel_AAT1_CAA94432.1	4.074041	1	462
26	Cmel_AAT4_AAW51126.1	3.982588	1	479
27	Mema_HFT_NA	3.958541	1	470
28	Sfal_HFT-like_KAH8954438.1	3.920506	1	447
29	Vvin_AAT2_CBI26419.3	3.634578	1	459
30	Csin_CHAT1_GMQ03793.1	3.586321	1	464
31	Atha_HHT1_AAL34170.1	3.390129	1	457
32	Lori_AAT1_WKK95849.1	3.348309	1	459
33	Msap_AAT_CAC09063.1	2.793936	1	419
34	Cmel_AAT3_AAW51125.1	2.775283	1	459
35	Phyb_BPBT_AAU06226.1	2.236984	1	460
36	Paxi_CFAT_ABG75942.1	1.994744	1	454
37	Phyb_CFAT_ABG75942.1	1.994744	1	454
38	Ntab_BEBT_AAN09798.1	0.401454	1	460
39	Ptri_SABT_AJD25144.1	0.100769	1	459
40	Ptri_BEBT_AJD25145.1	-0.095441	0	460
41	Jsam_BEAT1_UJH94663.1	-0.104625	0	448
42	Lalb_HMT_BAD89275.1	-0.119650	0	463
43	Csin_AT2_THG19836.1	-0.417806	0	448
44	Cang_AT20_QLI57449.1	-0.512334	0	456
45	Aagr_HFT-like_Aagr000038l.49.1	-0.784433	0	517
46	Wvil_BAT1_WvBAHD8	-0.822980	0	458
47	Cbre_BEBT_AAN09796.1	-0.837000	0	456
48	Ltri_CAAT1_AHA90802.1	-1.014462	0	463
49	Snig_AGAT1_WES72146.1	-1.042210	0	451
50	Csin_AT1_THG04858.1	-1.075908	0	515
