rank	fasta_id	score	predicted	T
1	Ppat_HCT1_AMK38063.1	6.701906	1	591
2	Ntab_ASAT1_XP_016480914.1	6.602760	1	527
3	Slyc_ASAT1_NP_001316332.1	5.395437	1	426
4	Ssin_ASAT1_ART34011.1	5.124184	1	440
5	Snig_ASAT1_ART34015.1	4.871784	1	429
6	Paxi_ASAT1_AOR06331.1	4.104663	1	429
7	Ssin_ASAT2_ART34012.1	-0.643796	0	423
8	Ntab_ASAT2_XP_016451255.1	-0.686850	0	420
9	Csin_AT1_THG04858.1	-1.265387	0	515
10	Paxi_ASAT4_AOR06334.1	-1.348067	0	461
11	Mpal_HCT_AXN55971.1	-1.368694	0	560
12	Mpol_HCT_PTQ49430.1	-1.402342	0	581
13	Squi_ASAT1H_UTN00742.1	-1.404798	0	435
14	Shab_ASAT3-P_AJF98591.1	-1.470856	0	428
15	Papp_HCT_AXN55972.1	-1.488081	0	564
16	Zmay_AAT1_ONM11762.1	-1.501234	0	483
17	Pvir_HCT1a_BAO20883.1	-1.515277	0	438
18	Snig_ASAT2_WES72145.1	-1.573647	0	442
19	Slyc_ASAT2_ALU64015.1	-1.586516	0	446
20	Atha_GGES_AED96958.1	-1.593809	0	443
21	Slyc_ASAT4_AFM77971.1	-1.606477	0	451
22	Osat_THT1_ANQ47373.1	-1.621659	0	436
23	Atha_SDT_AAC23766.1	-1.655808	0	451
24	Maze_AT1704_NA	-1.669008	0	453
25	Cros_TAT_AQP25667.1	-1.683829	0	436
26	Cros_DAT_AAC99311.1	-1.699059	0	439
27	Dcar_HCBT2_CAB06430.1	-1.700638	0	446
28	Sgla_HST_WYJ75403.1	-1.713217	0	436
29	Ntab_HCT_CAD47830.1	-1.718055	0	435
30	Cbre_BEAT_AAC18062.1	-1.718261	0	433
31	Aeuc_SAT2_BDW80080.1	-1.727538	0	440
32	Dmor_3MAT1_AAQ63615.1	-1.751017	0	459
33	Aagr_HFT-like_Aagr000038l.49.1	-1.757058	0	517
34	Ccar_HQT_ABK79690.1	-1.758361	0	434
35	Cchi_AT3_AAV66309.1	-1.782380	0	440
36	Mdom_AAT1_AAU14879.2	-1.789502	0	455
37	Shab_ASAT3-F_AJF98584.1	-1.792537	0	429
38	Ntab_HQT_CAE46932.1	-1.794603	0	436
39	Csin_HCT2_THG02040.1	-1.798553	0	436
40	Slyc_GAME36_XP_004246214.1	-1.802724	0	424
41	Arac_HPT1_QAA12830.1	-1.804291	0	448
42	Tant_HQT1_QCI44191.1	-1.806098	0	442
43	Cint_HQT2_ANN12611.1	-1.806469	0	439
44	Ccan_HQT_ABO77957.1	-1.810711	0	430
45	Jsam_BEAT2_UJH94664.1	-1.811492	0	445
46	Atha_HHT1_AAL34170.1	-1.823068	0	457
47	Tcus_TBT_AAG38049.1	-1.835180	0	440
48	Slyc_ASAT3_AJF98582.1	-1.836119	0	430
49	Sole_SOAP10_KNA12459.1	-1.843164	0	512
50	Amem_AT7-3_WMQ79387.1	-1.844599	0	446
