rank	fasta_id	score	predicted	T
1	Slyc_PHT2_UTQ10235.1	7.462934	1	443
2	Slyc_PHT1_UTQ10234.1	6.926590	1	443
3	Osat_PHT2_BAD72527.1	6.505504	1	319
4	Natt_AT1_AET80688.1	5.743165	1	438
5	Osat_PHT4_BAC79155.1	5.398545	1	452
6	Pnig_PHT1_BGB46908.1	5.252168	1	443
7	Osat_AHT1_CAE03579.1	5.119524	1	449
8	Osat_PHT3_BAC79154.1	5.091081	1	437
9	Taes_ACT1-2_BCN87079.1	4.625274	1	441
10	Taes_ACT1-1_BCN87078.1	4.385009	1	441
11	Atha_ACT1_NP_200924.1	4.295042	1	452
12	Atha_AT3G47170_NP_190301.2	4.264820	1	468
13	Atha_SDT_AAC23766.1	4.242888	1	451
14	Cint_SHT2_AXY93626.1	4.201084	1	452
15	Hmur_ACT_BCN87077.1	3.934474	1	441
16	Pnig_PAS_QUS53101.1	3.874068	1	460
17	Natt_DH29_AET80686.1	3.683033	1	449
18	Osat_TBT1_ANQ47375.1	3.597839	1	445
19	Hvul_ACT2_BAK00935.1	3.551827	1	438
20	Slyc_GAME36_XP_004246214.1	3.250661	1	424
21	Atha_PHT_OAO95042.1	3.162283	1	450
22	Cint_SHT1_AXY93625.1	3.123535	1	451
23	Hvul_ACT1-2_BAF97627.1	2.991087	1	439
24	Hvul_ACT1-1_BAF97626	2.347857	1	439
25	Hvul_ACT1-1_AAO73071.1	2.347857	1	439
26	Taes_ACT2_AMY96376.1	2.254202	1	441
27	Osat_TBT2_ANQ47376.1	0.664760	1	448
28	Atha_SCT_AAP81804.1	-0.765909	0	461
29	Rcan_SHT_QNO39111.1	-0.988797	0	469
30	Vvin_SHT_QNO39112.1	-1.078178	0	456
31	Paxi_ASAT3_AOR06333.1	-1.244996	0	430
32	Aeuc_AAT1_BDW80083.1	-1.344502	0	437
33	Tcus_DBAT_AAF27621.1	-1.362155	0	440
34	Atha_BIA1_CAB10319.1	-1.386667	0	435
35	Cbra_HQT-like_GBG71902.1	-1.391432	0	558
36	Mdom_SHT_ALF00095.1	-1.394513	0	455
37	Squi_ASAT3H_UTN00743.1	-1.402891	0	428
38	Gmax_COSY_KRH21316.1	-1.411000	0	452
39	Aeri_AT9_AIC83789.1	-1.425939	0	432
40	Wvil_BAT5_WvBAHD50	-1.430300	0	419
41	Asch_AKS2_URS65388.1	-1.449512	0	450
42	Rcom_SHT_QNO39108.1	-1.451310	0	449
43	Snig_AGAT1_WES72146.1	-1.463958	0	451
44	Osat_THT1_ANQ47373.1	-1.481239	0	436
45	Jsam_BEAT2_UJH94664.1	-1.499894	0	445
46	Pnig_PS_QUS53100.1	-1.522271	0	461
47	Lery_SAT2_BDW80077.1	-1.531291	0	440
48	Wvil_BAT6_WvBAHD28	-1.552329	0	435
49	Osat_PMT2_BAG91648.1	-1.554070	0	436
50	Smel_SHT_AKP24035.1	-1.586215	0	447
