rank	fasta_id	score	predicted	T
1	Cbre_BEAT_AAC18062.1	5.766975	1	433
2	Ntab_MAT1_BAD93691.1	5.549129	1	453
3	Atha_PMAT2_BAB02518.1	5.449305	1	451
4	Atha_5MAT_BAB01191.1	-0.935214	0	449
5	Dmor_3MAT3_BAF50706.1	-1.292031	0	454
6	Pfru_3AT_BAA93475.1	-1.327465	0	446
7	Atha_3AT2_AAF86513.1	-1.335374	0	465
8	Aeri_AT9_AIC83789.1	-1.345576	0	432
9	Sspl_5MAT1_AAL50566.1	-1.353045	0	462
10	Wvil_BAT6_WvBAHD28	-1.403167	0	435
11	Lint_AAT-4_AIW81432.1	-1.491321	0	417
12	Pvir_HCT1a_BAO20883.1	-1.521136	0	438
13	Asin_FMT_AHL24755.1	-1.534896	0	441
14	Sfal_HFT-like_KAH8954438.1	-1.543707	0	447
15	Atha_THAA1_BAB11062.1	-1.559105	0	443
16	Jsam_BEAT1_UJH94663.1	-1.585653	0	448
17	Atha_ACT1_NP_200924.1	-1.608397	0	452
18	Cint_HCT2_ANN12609.1	-1.608755	0	430
19	Obas_CAAT2_QKK36037.1	-1.618536	0	472
20	Spen_ASAT3_AJF98583.1	-1.620593	0	428
21	Pcam_RAS_QDF44407.1	-1.653588	0	461
22	Gtri_53AAT_BAA74428.1	-1.658749	0	469
23	Cint_SHT2_AXY93626.1	-1.660629	0	452
24	Wvil_BAT3_WvBAHD39	-1.666245	0	443
25	Cros_TAT_AQP25667.1	-1.678767	0	436
26	Squi_ASAT4H_QNR60312.1	-1.687565	0	425
27	Epur_HTT_QRI59126.1	-1.688246	0	424
28	Lint_AAT-3_AIW81431.1	-1.689185	0	447
29	Arac_HPT1_QAA12830.1	-1.691251	0	448
30	Spen_AAT1_AIW04708.1	-1.722382	0	442
31	Rser_YAT_PQ801655	-1.727023	0	426
32	Ntab_BEBT_AAN09798.1	-1.732080	0	460
33	Osat_THT2_AAM74310.1	-1.739685	0	434
34	Lery_SAT2_BDW80077.1	-1.740681	0	440
35	Lpur_3MAT1_AAS77404.1	-1.740818	0	461
36	Psom_SALAT_AAK73661.1	-1.744673	0	474
37	Tcus_TAT_AAF34254.1	-1.747211	0	439
38	Hvul_ACT2_BAK00935.1	-1.749442	0	438
39	Squi_ASAT1H_UTN00742.1	-1.749940	0	435
40	Osat_PMT2_BAG91648.1	-1.750151	0	436
41	Paxi_ASAT4_AOR06334.1	-1.752543	0	461
42	Ptri_SABT_AJD25144.1	-1.760997	0	459
43	Wvil_BAT2_WvBAHD14	-1.767780	0	411
44	Ecoc_HQT_AFF19203.1	-1.770648	0	433
45	Dcar_HCBT2_CAB06430.1	-1.774737	0	446
46	Dpin_3MAT_AAO12206.1	-1.789138	0	460
47	Dvar_3MAT_AAO12206.1	-1.789138	0	460
48	Sric_SHT_AMB21755.1	-1.791303	0	447
49	Vhyb_3MAT1_AAS77402.1	-1.793652	0	461
50	Bmul_HQT1_BDR61289.1	-1.795503	0	439
