rank	fasta_id	score	predicted	T
1	Ntab_MAT1_BAD93691.1	5.835096	1	453
2	Atha_PMAT2_BAB02518.1	5.761141	1	451
3	Atha_5MAT_BAB01191.1	-0.980530	0	449
4	Atha_ACT1_NP_200924.1	-1.274259	0	452
5	Pfru_3AT_BAA93475.1	-1.294622	0	446
6	Wvil_BAT6_WvBAHD28	-1.425620	0	435
7	Lint_AAT-4_AIW81432.1	-1.431622	0	417
8	Sspl_5MAT1_AAL50566.1	-1.441653	0	462
9	Jsam_BEAT1_UJH94663.1	-1.509401	0	448
10	Aeri_AT9_AIC83789.1	-1.534985	0	432
11	Dmor_3MAT3_BAF50706.1	-1.557932	0	454
12	Atha_PMAT1_AED94391.1	-1.566131	0	469
13	Lery_SAT1_BBV14785.1	-1.601976	0	438
14	Obas_CAAT2_QKK36037.1	-1.603711	0	472
15	Epur_HTT_QRI59126.1	-1.604217	0	424
16	Lint_AAT-3_AIW81431.1	-1.629137	0	447
17	Hmur_ACT_BCN87077.1	-1.643057	0	441
18	Atha_3AT2_AAF86513.1	-1.646546	0	465
19	Pvir_HCT1a_BAO20883.1	-1.647498	0	438
20	Osat_HCT4_BAD72437.1	-1.654817	0	433
21	Rser_YAT_PQ801655	-1.673201	0	426
22	Gtri_53AAT_BAA74428.1	-1.676610	0	469
23	Pcam_RAS_QDF44407.1	-1.700584	0	461
24	Bmul_HQT1_BDR61289.1	-1.702532	0	439
25	Tpra_HMT_ACI16631.1	-1.709257	0	454
26	Natt_DH29_AET80686.1	-1.709897	0	449
27	Pbar_AT1_WEX29777.1	-1.721834	0	447
28	Wvil_BAT2_WvBAHD14	-1.724321	0	411
29	Maze_AT1704_NA	-1.726660	0	453
30	Spen_ASAT3_AJF98583.1	-1.728758	0	428
31	Osat_THT2_AAM74310.1	-1.735995	0	434
32	Cbre_BEAT_AAC18062.1	-1.737521	0	433
33	Hann_HQT1_QBM78938.1	-1.738017	0	434
34	Atha_THAA1_BAB11062.1	-1.739234	0	443
35	Mtru_MAT3_ABY91221.1	-1.740749	0	483
36	Lpur_3MAT1_AAS77404.1	-1.753171	0	461
37	Atha_EPS1_NP_201517.1	-1.755105	0	434
38	Dvar_3MAT_AAO12206.1	-1.757084	0	460
39	Dpin_3MAT_AAO12206.1	-1.757084	0	460
40	Paff_BAHD21_NA	-1.773509	0	451
41	Cint_HCT2_ANN12609.1	-1.776630	0	430
42	Hvul_ACT2_BAK00935.1	-1.782700	0	438
43	Mtru_MAT1_ABY91220.1	-1.783434	0	472
44	Epla_AAT1-1_BDW80081.1	-1.783774	0	436
45	Sfal_HFT-like_KAH8954438.1	-1.784884	0	447
46	Wlon_BAT3_NA	-1.786459	0	424
47	Ccan_HQT_ABO77957.1	-1.786736	0	430
48	Mtru_MAT2_ABY91222.1	-1.788438	0	476
49	Gmax_IMAT1_AQY54373.1	-1.802865	0	476
50	Csin_AT1_THG04858.1	-1.814926	0	515
