rank	fasta_id	score	predicted	T
1	Hann_HCT1_QBM78941.1	8.606023	1	434
2	Lrob_AT1_WEX29780.1	8.413377	1	449
3	Atha_SHT_AAD12025.1	8.321772	1	451
4	Osat_TBT2_ANQ47376.1	8.295621	1	448
5	Oeur_AT1_XP_022859703.1	8.172399	1	448
6	Sind_AT2_BEE35703.1	8.110861	1	453
7	Ccar_HCT_AAZ80046.1	7.885871	1	436
8	Asat_HHT4_QDC27803.1	7.746204	1	445
9	Rglu_AT1_WEX29776.1	7.724844	1	448
10	Bmul_HQT1_BDR61289.1	7.636535	1	439
11	Sbic_COSY_OQU75851.1	7.615123	1	456
12	Taes_ACT1-2_BCN87079.1	7.519403	1	441
13	Sbic_HCT_EES05411.1	7.385971	1	448
14	Ptri_HCT6_PNT52620.1	7.240877	1	431
15	Cint_HCT1_ANN12608.1	7.225284	1	434
16	Ccro_HCT_WKA69991.1	7.189137	1	440
17	Taes_ACT1-1_BCN87078.1	7.103668	1	441
18	Hvul_ACT1-1_BAF97626	7.071875	1	439
19	Hvul_ACT1-1_AAO73071.1	7.071875	1	439
20	Csin_HCT2_THG02040.1	7.056839	1	436
21	Ljap_HQT_ACZ52698.1	7.046320	1	439
22	Some_HCT_EFJ20018.1	7.045724	1	451
23	Smoe_HCT1a_XP_002979061.1	7.045724	1	451
24	Cint_SHT1_AXY93625.1	7.041639	1	451
25	Csin_HCT1_XP_028081726.1	7.016928	1	434
26	Osat_PHT3_BAC79154.1	7.006846	1	437
27	Sind_AT1_BEE35702.1	6.930425	1	447
28	Hvul_ACT1-2_BAF97627.1	6.902911	1	439
29	Cint_SHT2_AXY93626.1	6.764236	1	452
30	Ccan_HQT_ABO77957.1	6.667272	1	430
31	Tpra_HST_ACI16630.1	6.596774	1	434
32	Epur_HCT_QRI59128.1	6.508519	1	434
33	Pvir_HCT2a_AGM90558.1	6.433622	1	446
34	Mema_HFT_NA	6.366460	1	470
35	Pvir_HCT1a_BAO20883.1	6.321458	1	438
36	Osat_TBT1_ANQ47375.1	6.307660	1	445
37	Ntab_HCT_CAD47830.1	6.307530	1	435
38	Pcam_HQT_QDF44406.1	6.189401	1	433
39	Stub_FHT_NP_001275190.1	6.181326	1	433
40	Epur_HTT_QRI59126.1	6.131586	1	424
41	Mlon_AT4_NA	6.108449	1	436
42	Tant_HQT2_QBQ52948.1	6.069979	1	439
43	Pvul_HHHT_AOX15526.1	6.034354	1	449
44	Aagr_HCT6_QPI70575.1	5.961971	1	434
45	Sfal_HFT-like_KAH8954438.1	5.911371	1	447
46	Tpra_HDT1_AXB87812.1	5.900626	1	452
47	Osat_PHT4_BAC79155.1	5.873324	1	452
48	Slyc_HCT_XP_004235891.1	5.763300	1	435
49	Csat_HCT_AEJ88365.1	5.649571	1	430
50	Mlon_AT1_NA	5.642992	1	427
