rank	fasta_id	score	predicted	T
1	Paxi_CFAT_ABG75942.1	6.208832	1	454
2	Phyb_CFAT_ABG75942.1	6.208832	1	454
3	Ltri_CAAT1_AHA90802.1	5.880296	1	463
4	Osat_PMT1_BAG87540.1	5.824949	1	439
5	Osat_PMT2_BAG91648.1	5.601289	1	436
6	Msap_AAT_CAC09063.1	5.598675	1	419
7	Zmay_FMT_AQK78565.1	5.246802	1	433
8	Schi_CFAT_URQ03862.1	5.196424	1	455
9	Osat_FMT_BAF16996.1	5.168569	1	432
10	Obas_CAAT2_QKK36037.1	4.474889	1	472
11	Bmul_HQT1_BCY27076.1	4.450960	1	426
12	Bdis_PMT_CDG41682.1	4.274344	1	449
13	Pvir_FMT_KAG2630178.1	4.216298	1	436
14	Ptri_HBMT1_PNT60021.1	4.208744	1	469
15	Pvir_PMT_KAG2616253.1	4.189429	1	427
16	Osat_AT10_BAD33123.1	4.110382	1	443
17	Sbic_PMT_EES17668.1	3.970431	1	436
18	Sbic_FMT_EES15804.1	3.918340	1	440
19	Cbre_BEAT_AAC18062.1	3.873024	1	433
20	Atha_CHAT_AAN09797.1	3.546939	1	454
21	Asin_FMT_AHL24755.1	3.540398	1	441
22	Obas_CAAT1_QKK36036.1	3.155933	1	443
23	Cmel_AAT4_AAW51126.1	3.107904	1	479
24	Slyc_HQT_CAE46933.1	3.091996	1	430
25	Fves_VAAT_CAC09062.1	3.043637	1	455
26	Cbre_BEBT_AAN09796.1	2.982674	1	456
27	Cmel_AAT1_CAA94432.1	2.933741	1	462
28	Arac_HPT1_QAA12830.1	2.908246	1	448
29	Phyb_BPBT_AAU06226.1	2.890384	1	460
30	Hcan_PMT_KAL4341785.1	2.814444	1	444
31	Ptri_SABT_AJD25144.1	2.760617	1	459
32	Ntab_HQT_CAE46932.1	2.748181	1	436
33	Ccan_HQT_ABO77957.1	2.512357	1	430
34	Mdom_AAT1_AAU14879.2	2.362851	1	455
35	Pvir_HCT2a_AGM90558.1	2.323450	1	446
36	Ppat_HCT1_AMK38063.1	2.163250	1	591
37	Atha_HCT_BAB10316.1	1.986157	1	433
38	Ccan_HCT_ABO47805.1	1.845786	1	434
39	Ntab_HCT_CAD47830.1	1.800998	1	435
40	Zmay_CAT_ACF87722.1	0.959964	1	435
41	Ptri_BEBT_AJD25145.1	0.459648	1	460
42	Lori_AAT1_WKK95849.1	0.263787	1	459
43	Slyc_HCT_XP_004235891.1	0.042331	1	435
44	Hann_HCT1_QBM78941.1	-0.122151	0	434
45	Sbic_HCT_EES05411.1	-0.168993	0	448
46	Ntab_BEBT_AAN09798.1	-0.407501	0	460
47	Cmel_AAT3_AAW51125.1	-0.476217	0	459
48	Vlab_AMAT_AAW22989.1	-0.500200	0	449
49	Fana_SAAT_AAG13130.1	-0.743925	0	452
50	Cang_AT20_QLI57449.1	-0.793290	0	456
